micha-iv-75-2	fr111-iv-75-2	sommer-iv-75-2	inc-iv-75-2	fr333-iv-75-2	fr751-iv-75-2	lanzarote-iv-75-2	lancellotto-iv-75-2
com il estoient la venu des estranges terres :  si i trove dusqu’a XXIIII. chevaliers de la meson le roi Artu sanz les V. 	comme ilz estoient la uenuz destranges terres si y treuue . xxiiii. cheualiers de la maison du roy artus sans les .u. 	comme il estoient la uenu destranges terres.  Si y trueue iusques a . Xxiiij. cheualiers de la maison le roy artu . sans lez compaignons 		comme il estoient la uenu des estranges contrees.  Si i trueue iusques a .xxiiii. des cheualiers de la meson le roi artur. sanz les .u. 	comme il estoient la uenu destranges terres.  Si en i trueue .xxiiii. de la maiSon lo roi artu. sans les .u. 	que heran compañeros dela tabla Redonda 	e nsi com’egli erano venuti delle strane terre:  si vi truova infino a ventiquattro di  que de la magion del re Artù, sanza i cinque 
qui erent compaingne de la queste et sanz Lion. 	qui estoient compaignons de la queste. 	qui estoient de la queste et sans lyonel. 		qui erent compaignon de la queste. et sanz lyon. 	qui estoient compangnon de la queste. et sans Lyonel. 	e todos heran compañeros e sin leonel 	che n’erano compagnoni della chesta e sanza Lyon. 
Et quant il voit cel escrit, 	Et quant il uoit cil escript 	Et quant il voit cest escrit 		Et quant il uoit cel escrit 	et quant il uoit cel escrit	que no estaua aun escripto su nombre  nin su escudo colgado enel pino non vbiera 	Quand’e' vide quella scritta, 
sì s’esmerveille plus que de riens  que il eust veu onques mes ;  si ne croit mie 	si se merueille plus que de riens  quil eust oncquez ueu.  mais il ne croit pas 	si sen esmerueille plus que de riens  quil eust onques mais veu.  Si ne croit mie 	Si sen merueille plus que de riens quil eust oncques ueu  et ne croit mie 	si sen merueille plus que de riens  que il eust ueu onques mes. Si ne croit mie 	Si ce merueille plus que de riens  qu il ueist onques. ne il ne puet parcroire 	e marauillose mucho  e non podia creer 	si se ne maraviglia troppo più  che di cosa  ch’elli avesse veduto unque mai:  si non crede mica 
que ce soit voirs  que I. chevalier seul poïst tant de prodomes conquerre,  se il n’i avoit traïson.	que ce soit uoir  que ung cheualier peust tant de preudommes conquerre  sil ny auoit traison 	que ce soit voirs. que vns seuls cheualiers peust tant de preudommes auoir conquis  se il ni auoit traison. 	que ce soit uoir que ung seul cheualier peult tant de cheualiers conquerre  se il ny auoit traison. 	que ce soit uoirs que .i. cheualier. seul poist tant de preudomes conquerre.  se il ni auoit trayson. 	que ce soit uoirs.  ne que onques uns seus cheualiers poist tant de preudomes conquerre cil nauoit traison. 	que vn solo cauallero pudiese conquerir tantos buenos caualleros  quantos nombres estauan alli escriptos 	che cciò sia vero,  che un sol produomo potesse tanti di produomini conquidere,  se non adavesse tradigione. 
Lors retorne a la fontainne  por faire boivre son cheval  qui grant mestier en avoit; 	Lors retourne a la fontaine  pour faire boyre son cheual  qui en auoit grant mestier. 	Lors retorne a la fontaine  pour faire boire son cheual  qui moult grant mestiers en auoit. 	LOrs tourne en la fentaine  pour faire boire son cheual.	LOrs retorne a la fontaine  por fere boiure son cheual  qui grant mestier en auoit. 	Lors retorne a la fontanie  por faire boire son cheual  qui grant soi auoit.	si por traiçion no fuese y entonçe se llego ala fuente  por dar agua asu cauallo 	EAllor ritornò Astor alla fontana per fare bere suo cavallo: elli gran mestier n’avea. 
et en ce qu’il trestornoit,  si oit ouvrir l'uis de la porte de la tor 	et ainsi quil retournoit il ouy ouurir luys de la porte de la tour 	Et en ce  quil retornoit si uoit ourir la porte de la tor 	Ainsi qu il retournoit  si ost ouurir la porte de la tour:	Et en ce  quil retoroit  si ot ouurir la porte de la tour. 	et en ce qu il beuoit il oit ourir la porte de la 	y el dandole a beuer oyo abrir la puerta del castillo 	ME 'n ciò che ritornava,  si udi aprire la porta della torre 
et an voit issir le grant chevalier 	et uoit yssir le grant cheualier 	et en voit issir le grant cheualier 	et en uoit issir le cheualier 	et en uoit issir le grant cheualier. 	tor.et uost issir hors le grant cheualier celui 	y vio salir vn cauallero muy grande 	e ne vide uscire il grande cavaliere 
dont la damoisele li ot dit  et fu toz couverz de fer ; 	que la damoisele luy auoit dit.  Et il fu tout couuert de fer 	dont la damoisele li ot dit.  et fu tous couuers de fer. 	donc la damoiselle luy auoit parle/ sy crie a hector/ sire cheualier ie la uous deffens la fontaine/ par mon chief mal y abruuastes uostre cheual/ uous aues telle chose fait/  que nul aultre ne osast faire/ 	dont la damoisele li ot  dit.et fu touz couuerz de fer. 	dont la damoisete lauoit conte.  et fu tous couers de fer 	todo armado quele dixo don cauallero en mal punto distes ay 	donde la damigella li avea parlato,  e-ffu tutto coperto di ferro. 
si crie a Hestor : « Danz chevaliers, je la vos desfant, la fontainne.  Par mon chief mar i abuvrastes vostre cheval! Vos avez ce fait  que nus chevaliers n’osast fere. » 	si crie a hector. cheualier ie uous deffens la fontaine. 	Et escrie a hector. dans cheualiers. ie vous desfens la fontaine.  Par mon chief mar y abeurastes vostre cheual.  vous aues ce fet  que nus cheualiers nosast faire. 	lors luy laisse courre le cheual.  Et quant hector le uoit  si sen esbahist 	si crie a hector Dans cheualiers: ge la uous desfent la fontaine.  Par mon chief. mar y abeurastes uostre cheual. uous auez ce fet  que mis autres cheualiers nosast fere. 	et crie a hector Dans cheualiers Ie la uous desfan la fontainne.  par mon chief mar i abeurastes uostre cheual.  Uos auez fait  que nus cheualiers nosa faire.	aveuer vuestro cauallo enmi fuente  ca vos fezistes  lo que otro Cauallero non oso fazer 	Si grida ad Astor: «Danzi cavaliere, i' vo difendo la fontana.  Per mi capo, mal v’abeverasti vostro cavallo:  voi avete ciò fatto  che nullo cavaliere non osò fare». 
Lors laisse corre le cheval  et besse le glaive, 	Lors laisse courre le cheual  et baisse le glayue 	Lors laisse corre le cheual et baisse le glaiue 	et nen pourtant il luy adreche le glaiue/ 	Lors li lesse corre le cheual.  Et quant hector le uoit  si sen esbahist tout.  Et neporquant Il li adresce le cheual et besse le glaiue. 	Lors li laisse corre le cheual.  et quant hector le uoit  si sen esbahit tous. 	que se ende non fallase mal y entonçes se dexo correr contra estor  y quando lo estor vio yr  ansi contrael fue muy espantado 	Allor li lascia corere il cavallo,  e quando Astor il vide venire,  si se ne isbigoti tutto, e nonperquanto elli li adirizò il cavallo  e bassa la lancia, 
et cil li vient  si roidement 	et uient si roidement 	et as li vint si roidement 	et celluy luy uint si uistement 	Et cil li uient si roidement 	et non  por quant il li adresce le cheual et baille le glaiue.  et ciz uient si roidement 	ca nunca tan gran cauallero viera 	e quelli viene  si tosto 
qu’il failli.  Et Hestor l’ataint bas, 	quil failly. et hector lataint bas 	quil failli a lui ferir.  Et hector lataint bas 	quil le faillit/  et hector lattaint bas 	quil failli. Et hector. lataint bas. 	que il failli. et hectors lataint bas 	y dexose yr ael y errole el golpe y estor quedo espantado 	che li fali. Astor l’agiugne basso, 
que molt i ot mise s’antante  por ce que trop le redoutoit, 	car moult y eut mis sentente par ce que trop le redoubtoit. 	qui moult y ot mise sentente  por ce  que trop la redoute. 	qui menlt y auoit mis son entente/ pour ce  que trop se redoubtoit/ 	qui molt y ot mise sentente  por ce que trop le redoutoit. 	qui i ot misse sentande;  por ce que trop le redoutoit. 	que mucho le dubdaua pero firiole de corazon 	che molto v’ebbe messo suo intento per ciò  che troppo il ridotava, 
si le fiert  si qu’il le porte del cheval a terre tout anvers. 	Si le fiert  si qu il le porte du cheual a terre. tout enuers. 	Si le fiert  si que il le porte del cheual a terre tout enuers 	si le fiert sy durement qu il le porte du cheual a terre tout enuers 	si le fiert  si quil le porte du cheual a la terre. touz enuerz. 	et il le fiert si roidement  que il le porte del cheual a terre tout enuers. 	que dio conel en tierra 	si l fiede si  ch’elli il porta artterra tutto rovescio  per di suso la groppa del cavallo. 
Et quant il s’an quide outre passer,  et cil resaut sus em piez 	Et quant il cuide passer oultre si sault sus 	Et quant il sen quide outre passer.  cil saut sus em pies 	Et il cuide oultre passer/  celluy ressault sus ses pies 	Et quant il sen quide outre passer.  cil resault sus em piez. 	et quant il cuide outre passer .  si resaut li grans cheualiers en piez. 	y piso sobre el 	E quand’e' se ne crede oltre passare,  quelli risalta suso in piede 
et prant Hestor par les espaules a II. mains 	et prent hector a deux mains par les espaules	et prent hector par lez espaulles a. ij. mains 	et prent hector parmy les espaulles aux deux mains: 	et prent hector par les espaulles . a. ii. mains. 	et prant hector par les espaules a ii mains 		e prende Astor 
et le trebuche del cheval si felonnessement  que a poi qu’il ne li a le col brisié, 	et le trebuche si felonnessement du cheual  qua pou qu il iu luy a brise le coul. 	et le trebuche del cheual si felenessement  que a poi  quil ne li a le col brisie. 	et le trebuche ius du cheual si fellonneussement  que a poy  quil na se col brisie/ 	et le trebusche del cheual a terre. si felonessement  que a poi  quil ne li a le col brisie. 	Si le trebuche del cheual  si felenessement :  qua pou quil ne li a le col brisiet. 	y el cauallero se leuanto muy ayna y trauo a estor porlas Riendas del cauallo 	pe-lle I spalle a due mani e l trabocca del cavallo si felonosamente  ch’a poco che non à il collo rotto. 
puis le lieve contremont  et le trousse sor son col, 	puis le lieue a son coul et lemporte en sa tour 	puis le lieue contremont  et le torse sor son col 	puys le lieue centrement  et le trousse sur son col/ 	puis le lieue contremont  et le trousse sus son cheual 	puis le relieue contremont  et le geste sor son col. 	y tomolo porlos brazos 	Poscia il lieva contramonte  e l torcia sopra su' collo, 
si l’amporte en sa tor  et commande a cels de laienz 	et commande a ceulx de leans 	si le porte en sa tour.  et commanda a ceuls de laiens 	et lemporte puys commande a ceulx de leans 	Et len porte en sa tour.  Et commande a cels de laienz 	et lemporte en la tor. Il commande a ceus de laiens 	e dio conel en tierra gran cayda 	si ne l porta in sua torre  e comanda a quelli di là entro 
qu’il le desarment, 	quilz le desarment 	que il le a desarmaissent. 	quilz le desarment/ 	que il le desarment. 	qui le desarment. 	e desi tomolo 	che l disarmino, 
et cil le font tantost.  Et il estoit ausi comme touz morz de ce 	et ilz le font tantost  Et il estoit aussi comme tout mort de ce 	Et il si font.  Et il estoit aussi comme mors. de ce 	et si font il tantost: et il estoit encore aussi 	et cil si font tantost.  Et si estoit encore aus si comme touz mors. de ce 	et il  si sont tantost.  et il esoit encore ausi  comme tout mors de ce 	e pusolo antesi ensu Cauallo  y lleuolo asu torre conlos otros 	e quelli si fanno tantosto.  E elli era ancora altresi come tutto morto di ciò 
			comment tont estourdi de ce 				
qu’il l’ot abatu. 	quil la abatu. 	quil auoit este abatus. 	que celluy lauoit abbatu. 	que cil lot abatu. 	quil auoit este ainsi abatus. 	e fizolo desarmar 	che quelli li avea abattuto, 
Mes quant il s’aperçoit  et il se voit desarmé et an la main son anemi, si a tel duel 	Mais quant il saparceoit  et il se uoit desarme en la main son ennemy  si a tel deul	Et quant il saperchut  et il se uoit desarme  et en la main son anemi 	Mais il se apperchoit  et il uoit  quil est es mains de son ennemy/ 	Mes quant il saperchoit  et il se uoit  desarme.et en la main a son anemi si a si grant duel 	mais quant il saparsoit et il se uoit desarmes el mains de son anemi. Na si grant duel 	e quando estor se vido desarmado  y estar en poder desus enemigos ouo tan gran pesar 	ma quand’e s’avede  ch’egli è disarmato nelle mani di suo animico,  si à si gran duolo 
		si en a si grant doel 					
qu’il voldroit bien estre morz, 	quil uoudroit estre mort. 	quil volsist bien estre mors 	si uouldroit bien estre mort/ 	quil uouldroit bien estre mors . 	quil uodroit bien estre mors. 	que quisiera ser muerto 	ch’elli vorebbe bene essere morto, 
car il n’oti onques courouz  qui a cestui li tornast.  Lors dist Teriquam: « Sire chevaliers, je vos tieng a molt prodome, 	Car il ne uit oncquez en luy tel corroux.  Lors luy dist terican sire cheualier. Ie uous tiens a moult preudomme. 	Car il not onques mais courous  qui a cestui li tornasts.  Lors li dist terrican. Sire cheualiers ie vous tieng a moult preudomme. 	car oncques neust couroust/ qui a celluy luy tournast.  LOrs luy dist terriquen/ sire cheualier ie uous tienn menlt a preudomme/ 	Car il not onques courrouz  qui a cestui li tornast.  LOrs li dist teriquans. Sire cheualier.  ge uous tieng molt a preudomme 	Car il not onques mais courrous qui a cestu li tornast.  Lors Li dit teriquans Sire cheualiers Ie uos taing mout a preudome. 	e toturquin le dixo amigo yo vos preçio mucho  mas que a otro cauallero  que viese 	ch’elli non ebbe unque cruccio  ch’a questo tornasse.  Allor li disse Trinquanz: Sire cavaliere,  i' vo tegno molto a produomo, 
quar onques mais ne trouvai je chevalier 	car oncquez  mais ne trouuay cheualier 	quar onques mais ne trouai iou cheualier 	car onques mes ne trouuay cheualier 	.Car onques mes ne trouuai ge cheualier 	Car onques mais ne trouai cheualier	porque nunca falle Cauallero 	ch’unque mai non trovai cavaliere 
qui me poïst faire les arçons vuidier :  si vos pris plus que chevalier 	qui me peust faire uuider les arcons.  si uous prise plus que cheualier 	qui lez archons me feist widier  Si vous pris plus que cheualier 	qui les archens me peult faire uuyder/  si uous prise plus que cheualier	qui les archons me poist fere u uoidier. Si uous pris plus que cheualier. 	qui les arsons me feist uuidier.  Si uos pri plus que cheualier que cheualier 	que me derribase dela silla sino vos 	che li arcioni mi potesse fare votare:  si vo pregio più che cavaliere 
