micha-ii-48	lancellotto-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48
que il nel feist en terre metre devant 	che l’uomo nol facesse soppellire nella Gioisosla Guardia inanzi 	que il ne fust enterres 	quil ne fust enterres  deuant chou	quil ne le fist mectre en terre  uicquez a ce	qu il ne feust enterre  deuant 	yo vos defiendo  Que el Cuerpo demi señor galeote no fagades enterrar 
que il fust venus. 	ch’e' vi fosse 	deuant que lanc᷑. i fust uenus. 	quil venist a lui. 	que luy mesmes y fust. 	quil uenist. 	fastaque yo mesmo alla vaya  e el Cauallero dixo 
Si se part atant li uns de l’autre 	venuto, si si parte atanto l’uno da 	Si se partent li un de lautre. 	A tant sen part de lui lancelot 	Si se part atant lun de lautre 	Si se depart de lui 	que asi lo faria entonçe se partio dellos lançarote 
et il retorne a l’abeie,  si se couche, c’onques la nuit ne volt mengier ne boivre por chose 	l’altro. Lancellotto ritorna alla  badia, si si  coricò, né unque la notte non volle mangiare  né bere per cosa 	et lanc̃ retorne a labeye  et se coche  ne onques la nuit ne uot mangier ne boire por chose 	et retorne a labbaye  si se couche  Ne onques la nuit ne volt mangier ne boire pour chose 	et lancelot retourne a labaye  si si couche ne oncquez la nuit  ne uoult boyre ne manger pour chose 	et retourne a la religien se couchier	e tornose al abadia  mas en toda aquella noche no quiso comer ni veuer 
que l’en li deist, 	che l’uomo gli 	que len li deist. 	que on li deist. 	quon luy dist 		por cosa que le dixesen 
ains plora  et dolosa tot adés; 	dicesse, anzi piagne e dolora tutto 	ains plora  et dolosa tout ades. 	ains ploret dolosa tout ades. 	ains pleura et dolousa 	et oncques ne uoulut la boire ne mengier. 	e non fazia sino llorar 
si li anuioit molt li jors 	adesso, si gli anoiava molto il giorno 	si li anuia mout li iors 	Si li anoia moult li iors 	si luy ennuyoit moult le iour 	si lui ennuya moult le iour 	e mucho se quexaua 
qui tant demoroit a venir. a Al matin,	che tanto penava a  venire. lsAl 	qui tant demora a uenir. Au mation	qui tant demoroit :  Et au matin 	qui tant demouroit a uenir. Au matin 	qui tant demouroit a uenir. 	Porque tanto aquella noche le duraba 
si tost  com li jors aparut, se leva 	mattino, si tosto come il giorno  aparve, si leva Lancellotto 	si tost  com li iors aparut se lena lanc̃. 	si tost  com li iors apparut. 	si tost  que le iour apparu se leua lancelot	Et au matin  si tost comme le iour apparust  se leua	e luego Que el dia aparesçio lançarote se leuanto 
et oi messe entre lui et la damoisele  et puis s’arma.  Lors » li dist ele les noveles de Boort  et ce qu’ele en avoit veu devant Honguefort, 	e udi messa intra lui e la damigella  e poscia s’armò. Allor gli disse la damigella novelle di Boordo  e ciò ch’ella n’avea veduto davanti 	et oi messe entre lui et la damoisele.  et puis sarma et lors dist ele les nouelles de behort.  et se quele en auoit uen deuant le chastel de honguefort. 	se leua et oy messe entre lui et la damoisele.  lors li dist elle lez noueles de bohort.  comment elle lauoit veu deuant hongrefort 	et ouy misse luy et la damoisele  et puis sarma. et lors luy dist elle les nouueles de boort. et ce  quelle en auoit ueu deuant hunguefort. 	et ouist messe lui et la damoiselle.  Lors elle lui dist nouuelles de boort  et que elle lauoit ueu deuant a honguefort 	e la donzella otrosi  e fueron a oyr misa  e desque la misa fue aCabada Armose  e despidiose del fraile  e entro ensu camino conla donzella e ellos asi yendo la donçella le conto nuebas de boores  e de como le contesçiera enel castillo de ongeforte 
et il en fu molt liés.  Et ele li dist: « Sire, il vos vet querant 	Unguelforte, ed e' ne fu molto lieto. Ed ella gli disse: «Sire, e' vo va 	et il en fu mout liez  et ele li dist. Sire il uos ua querant 	et il en fu moult lies.  Et elle li dist. Sire il vous ua querant. 	et il en fut moult lie  si luy dist. Sire il uous uait querant 	et comment il le fait.  et il en fut moult ioyeux. Aprez elle lui dit. Sire il uous ua querant 	e el fue dello muy alegre  e ella le dixo sabed señor  que vos a buscado 
ne jamés ne finera tant  qu’il vos avra trové. — Damoisele, fet il, 	cheggendo, né giamai non finirà infino a tanto che voi abbia trovato. —Hal, 	ne ia mais ne finera  tant quil uos ait troue.  ha; damoisele fait il 	ne iamais ne finera deuant ce  quil vous aura trouue. Damoisele fait lancelot	ne iamais ne finera iucqua ce  quil uous ait trouue.  Haa damoistle fait il 	ne iamais ne finera  deuant  quil uous aura trouue. Damoiselle fait lancelot 	e nunca jamas quedara  fastaque vos falle  Ay donçella dixo lançarote 
	damigella, 					
se vos le cuidiés trover ains de moi, je vos voldroie proier  que vos feissiés tant por moi  que vos li portissiés ceste espee 	diss’elli, se voi il credete trovare anzi di  me, i' vo vorrei pregare che voi faceste  tanto, per l’amor di  me,  che voi gli portaste questa spada 	se uus le cuidiez trouer ains de moi. Ie uous uodroie prier que uous feissiez tant por amor de moie:  que uos li portissiez ceste espee. 	se vous le quidies auant trouuer de moi. iou vous voldroie proier  que vous li portissies ceste espee 	se uous le cuidiez trouuer auant moy ie uous uoudroye prier  que uous feissez tant pour amour de moy  que uous luy portassee ceste espee	se uous le trouuez  auant que moy ie uous uouldroie prier  que uous lui porteissiez ceste espee 	si vos lo cuidades fallar yo vos querria rrogar  que fiziesedes tanto pormi quele llebasedes esta espada 
qui fu mon seignor Galehout, 	che fu di monsignor  Galeotto, 	qui fu monsignor Gal̾. 	qui fu monseignor Galeholt, 	qui fu a messire galehot 	qui fut a mon compaignen gallehaut 	que fue demi señor galeote 
et li dites  qu’il la DOrt de par moi, 	e gli dite che-lla porti da parte di me, ché molto est 	et li dires  quil laport de par moi 	Et li dites  quil le port de par moi. 	et luy dices  quil la porte de par moy 	et lui dictes quil la porte de par moy 	e dezilde quela traiga pormi amor 
que molt est bone. »  Et ele dist  qu’ele le trovera par tens  et bien fera cest message; 	buona».Ed ella dice ch’ella il troverrà per tempo  e bene farà questo  mesaggio, 	car mout est bone. et ele dist  que ele le trouera par tans.  et que bien fera cest mesaige . 	quar elle est moult bone et moult bele. elle dist  que elle le trouuera bien par tamps et bien fera ce dist cest message. 	car moult est bonne.  Et elle dit  quelle le trouuera tantost  et que bien fera ce message. 	car elle est moult bonne et belle.  Et elle dist  que elle le trouuera par temps  et bien fera ce message. 	ca mucho es buena  e fermosa yo lo fare dixo la donçella de grado Luego se partio el vno del otro 
si s’en part atant de lui  et il s’en vet droit vers le chastel de Floego, 	si si parte atanto di  lui. Ed e' se ne va tutto diritto inverso el castello del 	Atant se part de lanc̃. la damoisele.  et il sen ua tout droit uers le chastel de floego. 	Si sen part atant de lui.  Et il sen vait uers le castel de florega. 	si se part atant de luy.  et il sen ua tout droit. uers le chastel de fleogo 	Si se part atant de elle  et sen ua uers le chasteau de florega 	e lançarote se fue contra el castillo de florenga 
si i vint a hore de prime.  Et il esgarde es pres defors la vile,  si voit molt grant gent entor le feu  ou l’en devoit ardoir la suer Meleagan»,  et quant il aperçoit le feu, 	Flego, si vi venne a ora di prima. Ed e' riguarda nel prato di fuori la  villa, si vi vide molto grande gente intorno uno fuoco,  e quando elli apressima al  fuoco, 	Si i uint a hore de prime et des garde es pres de fors La uille si auoit mout de gent entor .i. fe.  Et quant il aparsoit le feu 	Si y uin entor prime.  Et il regarde en mi lez pres dehors la vile  Si vit moult grant gent entor vn fu.  ou on deuoit ardoir le suer melyagant, 	si y uint a heure de prime.  et il regarde es prez dehors la uille.  si uoit moult grant gent entour ung feu.  Et quant il aparceut le feu 	si y uint entour prime.  et il regarde es prez hors la uille  si y uist moult grant gent entour ung feu  ou len deuoit ardoir la seur de meleagant.  Quant il apperceust le feu 	e andubo tanto  que llego alla ante de prima  e vio ante la villa gran jente alrrededor de vn fuego  e en aquel fuego auian de quemar ala hermanade meliangas 
si a poor de la damoisele. Lors broche le cheval  et vint errant cele part 	si à paura della damigella  che già era menata al fuoco 	si a paor de la damoisele. et lors broche li cheual  et uient corant cele part.	CNuant lancelot aperchut le fu 		si eut grant paour de la damoiselle.  Lors frappe le cheual des esperons et uient celle part. 	e lançarote 
tant com il puet del cheval traire. 	per  distrugere.i brocca il cavallo delli isproni 	tant comme il puet de cheual traire. 				que aquello vido dio delas espuelas al cauallo 
Et quant il est venus jusque la,  si esgarde  et voit la damoisele  qui ja estoit amenee al feu  por destruire,  si estoit en pure sa chemise 	e viene in quelle parti correndo tanto come può del cavallo  trarre,  e  quand’egli è là  venuto,  si vide la damigella  che già era menata al fuoco  per liverarla a  morte.Si era in sua pura camicia 	et quant il uien iusque la si esgarde  et uoit la damoisele  que ia estoit amenee au feu  por destruire.  Si estoit en la pure chemisse 	si ot moult grant paour de la damoisele  qui y ia estoit menee au fu pour destruire.  Si estoit en vne poure chemise 	si a paour de la damoisele  qui ia estoit amenee au feu pour destruire.  si estoit en sa pure chemise 	et quant il uoit la damoiselle  qui ia estoit amenee au feu  pour destruire  laquelle estoit en une poure chemise 	e llego alla ca bien cuidaua  que ya quemauan la donçella  e quando el y llego vio la donçella estar ante el fuego envna muy pobre camisa 
et le tenoient. VI. pautonier, trois d’une part et trois d’autre; 	e la tenieno vi.  paltonieri, tre d’una parte e tre 	si la tenoien .ui. pautenier trois deuant et trois derier. 	et le tenoient. vi. pautonnier. iij. dune part. et. iij. dautre. 	et la tenoient six pautonniers dune part et troys dautre 	et la tenoient six pautenniers. trois de une part et trois dautre: 	e tenianla seis billanos tres dela vna parte e tres dela otra 
si n’atendoient a geter le el feu fors le commandement as juges, 	d’altra, sì non atendieno a gittalla  nel fuoco forse il comandamento del l 	Si natandoient a geter li el feu fort le comandement les menistres. 	Si natendoient a geter le  el fu fors le commandement as iuges 	si nactendoient a la gecter  ou feu fors le commandement des uiges. 	et ne actendent la iecter au feu fors le commandement du iuge 	e no esperauan al sino el mandamiento delos juezes  parala hechar enel fuego 
et ele ploroit trop durement  et regretoit Lancelot: « 	giudice, ooma ella faceva troppo doloroso pianto e rigrattava Lancellotto molto  pietosamente, si diceva 	et ele ploroit trop meruilleusement et regretoit lanc̾. 	et elle ploroit moult tendrement et regretoit lancelot  et disoit 	Et elle plouroit merueilleusement  et regretoit lancelot. 	Et elle plouroit moult tendrement  et regrettoit lancelot: en disant. 	e la donzella lloraua muy fuertemente 
Ha, gentilx chevaliers Lancelos,	sovente: orHal, gentil cavaliere  Lancellotto, 	ha gentil cheualiers lanc̃. 	ha : gentiex hom lancelot	Haa lancelot gentilz cheualier De celle mesmes matiere. 	Haa gentil homme lancelot 	e llamaua a lançarote e deçia ay mi buen cauallero 
kar pleust ore a nostre Salveor 	che or piacesse ora a Nostro Salvatore 	car pleust ore a dieu 	quar pleust ore a dieu 	que pleust ores a nostre seigneͬ	car pleust a dieu 	e pluguiese agora anuestro señor 
que vos seuissiés ceste novele,  si fuissiés pres de ci a demie lieue! 	che vo' sapeste  questa dolorosa novella a mio  huopo, per convento  che vo' foste presso di qui a meza lega! 	que uos seussiez ceste nouelle.  et uos fussiez pres de ci a demi lieue. 	que vous seussies ceste nouele et puis vous fuissies chi a demie lieue. 	que uous sceussez ceste nouuelle  et que feussez a demye lieue pres de cy. 	que uous feussiez prez de cy a demy lieue 	que supiesedes estas nuebas  e estubiesedes çerca de aqui media legua 
Certes a l’aide de Dieu et de la vostre seroie je encore anuit rescosse malgré tos mes enemis.  Mais vos ne le savés pas a, 	osCerto, all’aiuto di Dio  e al vostro sarei io ancora stanotte riscossa a mal grado di tutti miei  animici, ma vo' nol saprete	Certes a laide de dieu  et ala uostre seroie ie encore ennuit rescouce maugre mes anemis.  Mais uos ne le sauez pas 	Certes a laide de dieu et de la uostre fuisse iou encore anuit rescousse malgre mes anemis 	et certes a maide de dieu et de la uostre seroye ie encor ennnuyt rescousse malgre tous mes ennemys.  et si ne li scauez pas. 	certes a laide de dieu ie seroie rescous  se malgre tous mes ennemis 	e conla ayuda de dios  e conla vuestra seria yo aCorrida e librada  e mas vos no lo sabedes 
si me covendra ore morir  por la vie  que je vos sauvai emprés Dieu; 	mica, si me ne converrà ora a morire vilmente  per ciò ch’io voi salvai la vita apresso 	si me couanra morir.  por la uie  que ie uos sauuai apres dieu. 	si men conuendra ore a morir pour la vie  que iou vous saluai apres dieu.	si me conuiendra ores mourir pour la uie  que ie uous sauuay. 	si me conuendra mourir pour la uie  que ie uous sauuay aprez dieu	e asi me conuerna a morir 
mais certes il ne m’en poise pas tant  por moi 	Iddio. Hal, lassa, come qui à dolorose novelle a mio huopob. ¡Poscia dice: «Certo,  e non me ne pesa tanto  per me come fa 	mais certes il ne men poise pas tant por moi 	Mais il ne me poise mie tant pour moi 	mais certes il ne men poist pas tant pour moy 	mais certes dit elle il ne me poise pas tant pour moy 	mas no me pesa tanto pormi 
