	micha-ii-61-2	fr111-ii-61-2	sommer-4-ii-61-2	inc-ii-61-2	fr751-ii-61-2	lanzarote-ii-61-2	lancellotto-ii-61-2
996|997	qu’il s’entredonent; |si se depiecent les escus et les haubers 	quilz sentredonnent. |si se depecent leurs escuz et leurs haubers	quil sentredonnent. |Si depiecent lor escus |et desmaillent les haubers 	et despiechent leurs escus et leurs haubers 	quil sentredonent. |et se depiecent les haubers et les escus. et se mainnet une hore auant 	e despedaçauanse los escudos e las lorigas e traianse avnas partes 	che si tradonano, |si si dispezano gli scudi e gli asberghi 
998	et se mainent une hore avant et autre ariere, 	et se mainnent une heure auant |et lautre arriere 		si sentremainent une heure ament une autre aual 	et lautre ariere. |si se font le sanc saillier des espaules et des costes. 	y a otras arriua e ayuso 	e si menano un’ora avanti e un’altra adietro; 
999	si se font le sanc saillir des espaules et des bras et des testes 	si se font saillir le sang des espaules des braz et des testes. |si si depecent les heaumes es espees trenchans 	sor lor bras et sor lor hanches. |et en font sanc saillir en pluisors lius 	et se font le sang saillir des espaulles des testes et des bras 	si ce depiecent les hiaumes as espees |qui sont cleres et tranchans. 	e fazianse salir mucha sangre porlas espaldas y porlos braços 	i si fanno el sangue salire delle spalle e delle braccia e delle teste, |e dispezano gli elmi apresso e colpi delle spade trincanti e chiare; 
1000|1001	et sont al premier assaut |si par igal 	et sont si esgaulx au premier assault 	Et sont ambedoi si paringal 	et sent au premier si egaulx 	et sont au premier asaut si parigal 	e porlas cabezas |e tajauanse los yelmos conlas espadas tajantes e conuatianse ansi por igual 	e sono nel primaio asalto |si per iguali 
1002	que l’en ne peust pas legierement le meillor eslire, 	que len nen sceust pas eslire le meilleur. 	que on ne set eslire le meillor 	que a peine peut on eslire le meilleur/	que on ne seust le millor eslire. 	que no podia ome escojer ligeramente |qual dellos auia lo mejor 	che l’uomo non potesse miga legermente el migliore eslegere, 
1003|1004	kar li mains vailtans estoit plains de grant proesce. |Tant se sont issi combatu 	Car le moins uaillant estoit plain de grant prousce. |Tant se sont combatuz 	Car li mains uaillans estoit plains de grant proesche. et de moult grant hardement. |Tant se sont entrecombatu 	car le mains uaillant estoit de grant prouesse et de grant hardiesse.|Tant se sont combatuz 	Car li mains uaillans estoit de mout grant proesce. tant. |Ainsi conbatu 	ca el menos valiente era lleno de gran proeça e de gran ardimiento e tanto se conuatieron los caualleros 	ché l meno valente era pieno di gran prodeze. |Tanto si sono insi combatuti 
1005	qu’il n’i a celui 	qu il n y a celuy 	quil ni a celui de eaus. 	qu il ny a celui 	quil ni a celui 	que no hauia 	che non v’à colui 
1006|1007|1008	qui assés ne soit las et traveilliés.|Mes cil del chastel a si tres grant chaut |qu’a poi qu’il ne muert d’anguoisse: 	qui ne soit las et trauaille. |mais le cheualier. |a si tresgrant chault |qua pou qu il ne meure dangoesse	quil ne soit las et traueillies. |Mais li cheualiers a recheu. j. si grant cop : |que a poi |quil ne muert dangoisse.	qui ne soit las et trauaillie. Le cheualier a si grant chault |que a peu|quil ne meurt dangoisse: 	qui assez ne soit las et trauilliez. |mai li cheualiers a|si tres grant chaut |ca |pou qul ne muert dangoisse. 	y tal dellos |que no fuese muy cansado 	che assai non sia lasso e travagliato. |PMa il cavalier del castello à si gran caldo ch’a poco che non muore d’angoscia, 
1009|1010|1011|1012	si est molt enpiriés d’alaine et de force. |Et Hestors le haste si durement |qu’il li covient guenchier as cops de l’espee Hestor |qui mainte fois l’a tasté jusqu’al sanc; 	si est moult empire de la ueue et de la force et hector le haste si fort |qu il le conuient guenchir pour lespee|qui mainte foiz la ia tastee iucquau sang. 	Et hector le haste tant durement |que cil ne fait 	car hector le haste si durement |qu il lui conuient perdre place 	si est mout enpiriez dalainne et de force. |et .h̾. le haste si durement|quil le couient guenchir por lespee |qui maintes fois la ia taste iuscau sanc. 	mas el cauallero auia muy gran calor |que por poco no moria con cuita y estor lo feria ansi duramente |que muchas vezes le fizo sentir su espada enla cabeza 	si è molto impegiorato d’alena e di forza. |EAstor lo studia si duramente |ch’elli il conviene schencire per la spada d’Astore |che molte fiate l’à già tastata infin |qua la carne ignuda. 
1013|1014	si bSe cuevre de son escu |tant com il puet 	Si se cueuure de son escu |tant qu il puet 	se soi couurir non de son escu. 	Si se cueuure de son escu au mieulx|quil peut 	Si se cueure de son escu |tant comme il puet.	e el cauallero se cobria desu escudo |lo mejor 	PSi si cuopre di suo scudo |tanto come puote, 
1015|1016	et Hestors gete totes voies, com cil |qui molt avoit longue alaine; 	Et hector gecte tousiours comme celuy|qui auoit longue alaine. 	Et hectors li giete. j. cop descremie. 	et hector iecte sus lui |comme ce lui |qui moult auoit cueur et force. 	et hector li geste totesuoiez comme cil |qui alongue alainne 	que podia mas estor lo feria muy duramente |ansi como aquel que hera de muy gran fuerça 	e Astor getta tuttavia come colui |che molta avea forza e alena;
1017	si le fiert sor le bras 	si le fiert si fort sur le braz	et le fiert si durement 	si le fiert dessus le bras 	si le fiert sor le bras 	e de gran corazon 	si gli piaga un colpo da monte |e 'l fiede sopra I braccio 
1018|1019|1020|1021	dont cil tenoit l’espee |si qu’il li fet voler le poing a tot l’espee a terre, |et cil giete I. cri molt doleroz.|Et Hestor remet s’espee el fuerre, 	dont il tenoit lespe |quil luy fait uoler le pom a terre a tout lespee. |Et il gecte ung cry trop merueilleux. |et hector remect son espee en son feurre. 	quil li fait voler le puing a tout lespee. |Et cil |qui grant angoisse sent si giete. j. brait grant et merueilleus. |Et hectors Is asrel remet sespee el fuerre.	dent il tenoit lespee |si qu il la fait uoller atout le poing. |Et celui iecte ung cry merueilleux et grant. Hector met son espee au fourreau 	dont il tenoit |lespee.Si que il li fait le poig̃ atout lespee uoler a terre. |et cil geste .i. coi trop meruilleus. |et h̾. remest sespee el fuerre 	en tal manera |quele dio vn tan gran golpe dela espada sobre el braço derecho ansi quele fizo la mano conla espada volar en tierra |y el cauallero dio vn gran grito amarauilla |y estor metio la espada enla vaina 	donde e' teneva la spada, |sicché gli fa volare el pugno con tutta la spada in terra, |e que' getta uno grido troppo maraviglioso; |e Astor rimette la spada nel fodero, 
1022	si prent celui par le hialme	si le prent par le heaume	si prent celui au heaume 	et prent celui par le heaume 	si prent celui par le hiaume 	e tomo al cauallero porel yelmo 	e prende colui nell’elmo 
1023|1024	et li esrache de la teste |et dist 	et luy errache a force de la teste. |et dit 	et li esrace de la teste et dist 	et lui arrache. |et dit	et li arage a force de la teste. |et li dit 	e tiroselo dela cabeza muy deReçio |e despues metio mano ala espada 	e gliele arappa della testa, |e gli dice 
1025|1026	qu’il li trenchera le chief, |s’il ne se tient por outré, 	quil luy coupera le chief |sil nest tient pour outre. 	quil locirra |sil ne se tient por outre. 	qu il lui couppera la teste: sil ne se tient pour oultre.	quil li copera la teste |ce il ne se tient por outres. 	e dixole don cauallero |si vos non tenedes por vençido 	che gli trincherà el capo, |se non si tiene per oltrato. 
1027	et cil dist 	Et il dit 	Et cil dist	Et celui dit 	et cil dit 	yo vos tajare la cabeza asi me ayude dios dixo el |cauallero 	E que dice 
1028|1029	que ce ne sera ja, |se Diex li art. 	quil nen fera riens |si dieu luy aide 	quil nen fera riens |se diex li ait. 	quil nen fera riens. 	quil nen fera riens |se diex li aist.	yo no fare cosa de |quanto me deçides entonçes ouo estor muy gran saña del 	che non farà, |se Dio l’aiuti; 
1030	Et Hestor met la main a l’espee, 	Et hector mect la main a lespee 	Et hectors trait lespee	et hector le fiert 	et h̾. met la main a lespee 	e fue contrael |e firiolo asi fuertemente de toda su fuerça 	e Astor mette la mano alla spada
1031	si le fiert par mi le col 	et le fiert parmy le coul. 	et le fiert. 	si durement 	si le fiert parmi le col 	quele fizo bolar la cabeza porla plaza 	e gli dona tal colpo 
1032	si qu’il li fet la teste voler loing plus d’une lance. 	si quil luy fait uoler la teste plus dune lancce loing. De celle mesmes matien 	si quil li fait la teste voler plus dune lance loins. 	quil lui fist la teste uoller plus de une lance loingz.	si li fait la teste uoler plus dune lance loing del|bu emmi la place. 	mas devna lança en luengo entonçes |dixo estor 	che gli fa la testa volare più d’una lancia lungi. 
1033|1034|1035	Lors demande a cels |qui entor lui sont |si li covient plus a fere et il dient: « 	Lors demande a ceulx |qui sont entour luy. |sil leur en conuient plus faire. 	ors demande a cheaus |qui en la place estoient |se il len couuient plus faire |Et il dient 	Lors demande a ceulx |qui entour lui sont |sil en cenuient plus faire. |et ilz dient 	LOrs demande .h. a ciax |qui entor lui sont ce il li couient plus a faire. 	alos que estauan enderredor del |amigos conuieneme aqui |mas de fazer si dixeron ellos 	Allor domanda coloro |che intorno lui sono |se ne gli conviene più fare, |ed e' dicono 
1036	Ol, il covient, font il, a delivrer la dame de cest chastel 	et il dient. ouil. Il uous conuient font ilz deliurer la dame de ce chastel 	que oil. |quar il vous conuient deliurer la dame de cest chastel 	que oy. Il uous cenuient deliurer la dame de ce chasteau 	et il dient oil il uos couient deliurer la dame de cest chastel. 	ca vos conuiene de liberar ala señora deste castillo 	che si: eElli vo conviene, dicono elli, |a-lliverare la dama di questo castello 
1037|1038	qui ça desos est en prison en une cave, la |ou dui lion la gardent. » 	qui est la dessoubz en prison en une caue la |on deux lyons la gardent 	qui decha est en prison en vne caue |ou. ij Iyon le wardent. 	qui est cy dessoubz en une caue: la ou deux lyens la gardent. 	qui sa desous est en prisons. en une caue la |ou dui lyon la gardent.	que aca esta en prision envna Cueba en poder de dos leones 	ch’è di qua di sotto in prigione, in una cava |ove due leoni la guardanos.
1039	Et il dist 	et il dit 	Et il dist	Et il dit 	et il dit 	quela guardan muy de grado 	Ed e' dice 
1040|1041	qu’il est pres de fere |quanqu’il voldront. « 	quil est prest de faire |quantquilz uoudront. 	quil est pres de faire tout ce |que il volront. 	quil est tout prest. Uenez denc apres nous. Ilz le mainent en une caue dessoubz laire: si lui menstrent lentree 	quil est pres de faire |quenque il uoront. 	dixo estor fare yo lo que mandaredes |y ellos le dixeron 	ch’egli è presto di farne |quanto che dovrà. 
1042|1043	Or en venés |dont. font il, aprés nos. » 	Or uous en uenez donc font ilz apres nous. 	Or uenes|dont font il apres nous. 		Or en uenes |dont font il apres nous. 	pues veniduos enpos denos 	Or venite dunque, dissono eli, apresso nois, 
1044|1045|1046|1047|1048	Et il si fet, |si armés |com il estoit:|si le mainent a une cave |qui estoit desos la tor et li mostrent l’entree 	et il le fait ainsi arme |comme il estoit. et ilz le mainnent a une eaue |qui estoit soubz la tour et luy monstrent lentree 	et il si fait. |Et il le mainent a vne caue |qui estoit desouz la tour. |si li monstrent lentree. 		et il si fait si armes |comme il estoit. |Si len mainnent en une caue |qui estoit desous la tor |et li moustrent lentree. 	y el dixo |quele plazia |y luego se fue enpos dellos 	ed e'si fa, insi armato |com'egli era. |eEd egli el menano in una cava di sotto la torre|e gli mostrano l’entrata, 
1049|1050	et li dient : « Sire, |saiens est la dame emprisonee, 	et luy dient Sire ceans est emprisoñee la dame de ce chastel 	Et li dirent Sire chaiens est lar dame en prison. 	et lui dient. Sire ceans est la dame en prison 	et li dient sire laiens est la dame de cest chastel enprisonee. 	asi armado 	e dicono: uSire, |qua entro est la dama impregionata, 
1051	si la gardent dui lion si bien 	et la gardent si bien deux lyons 	si le gardent li doi lyon si bien 	et la gardent si bien les lyens 	Si la gardent dui lyon si bien 	como estaua so la torre 	si-lla guardano due leoni |si ben 
1052|1053	que nus n’ose de lui aprochier. » |Et quant Hestors l’entent 	que nul nouse aproucher de lac. |Et quant hector entend 	que nus nose a li tochier. |Et quant hectors lentent 	que nul ne ose a elle attouchier |Quant hector les entent 	que nus ne lose aprocher. |Et quant .h. entent 	e mostraronle la entrada 	che nullo non l’osa toccare». |E quando Astore intende 
1054|1055|1056	que laiens est la dame, |si ne tint plus parole a els, |ains se commande a Dieu 	que leans est la dame |si ne tient plus parole a eulx |ains se commande a dieu 	si fait le signe de la uraie crois en son front |et se commande a dieu. 	si ne leur tient plus parolle |mais se recommande a dieu 	que la dame est laiens |si ne tient plus a aus parole |ains ce comande a dieu. 	e dixeronle 	che là entro est la dama,|si non tiene a nullo più parola, |anzi si comanda a Dio
1057|1058	et a fet le seigne de la crois en mi son vis, |puis se met en la cave : 	et fait le signe de la croix en son uis. |puis se mect en la caue. 	puis se met en la caue. 	et fait le signe de la croix en my son uisage |et puis descent en la caue. 	puis fait le signe de la crois enmi son uis |et se met en la caue. 	señor aqui esta la dueña en prision 	e fa el segno della santa croce nel miluogo di suo viso.|Poscia si mette nella cava, 
1059|1060|1061	et l’en i veoit molt cler, |kar la terre estoit crevee par desus en pluisors lieus|si que la clartés del jor espandoit par tot. 	et len y uoit moult cler. |Car la terre estoit creuee par dessus en pluseurs lieux |si que la clarte du iour |se y espandoit par tout. 	et on y ueoit bien cler. |quar la caue estoit creuee en pluisors lieus. |si que la clarte del ior y fu espandue partout. 	et len y ueoit moult cler |car la terre estoit creuee en plusieurs lieux |si que la clarte du iour se espandoit par tout. 	et len i uoit mout cler |car la terre estoit creuee en plusors lieus. par desus|si que la clartes del soileil espandoit par 	y la guardan dos leones |mas ninguno denos no osa alla entrar 	e l’uomo vi vedea molto chiaro, ché-lla terra n’era crepata in più luogora |sicché-lla chiarità del giorno si spandea |per là entro. 
