	micha-ii-48	fr751-ii-48	fr111-ii-48	inc-ii-48	sommer--ii-48	lanzarote-ii-48	lancellotto-ii-48
1131|1132|1133	et lors vint Lancelos poignant cele part |ou il la vit: |si dist a cels 	et lors uint lanc̃. |cele part |ou il la uit. |et dit a ciax 	Et lors uint lancelot |poiguant celle part |ou il la uit. |si dist a ceulx 	lors uient lancelot poignant celle part |si dist a ceulx 	Et lancelot vint durement poignant la |ou il le vit ester. |Si dist a chiaus 	e lançarote vino |luego aquella parte do la donçella tenian |e dixo aquellos 	esAllor viene Lancellotto pugnendo in quelle parti ove la vide, |si disse a quelli 
1134|1135|1136|1137|1138|1139|1140|1141|1142|1143|1144|1145|1146|1147|1148	qui le tenoient: « |Laissiés la damoisele! — |Por quoi, |sire, |fet J. chevaliers armés |qui avant saut, |le lairons nos ? |— |Por ce, |fet il, |que vos n’avés droit en li |por fere mal. |— |Si avons, |fet cil, si grant 	qui la renoient Laissiez la damoisele. |Por qoi sire fait uns cheualiers |qui auant saut |por quoi la lairons nous. |Por ce fait il |que uous ni auez droit en li faire morir. |Si auons fait cil 	qui la tiennent laissez la damoisele par courtoisie. |Et ung cheualier arme sault auant |et dist. |pour quoy la lairrons nous. |par ce fait il queͥ uous nauez droit de la faire mourir. |Si auons fait il car ie lay actainte dung meurtre 	qui tenoient la damoiselle/ lessies la damoiselle. |pour quoy fait ung cheualier arme |qui deuant estoit/ la lesrons ilz. |pour ce fait il que uous naues nul droit a la faire mourir/ |si auons fait celuy asses grant 	qui le tenoient. |Laissies ester la damoisele laissies. |pourcoi fait vns cheualiers armes |qui auant saut le lairoit on. |pour chou fait il |que vous naues droit de li faire morir. |Si auons fait cil si grant 	que la tenian dexadla donçella |Porque señor dixo vn cauallero |que delante salio la dexaran ellos |Porque dixo lançarote |Porque no auedes derecho |Porque la matar |si auemos dixo el muy grande 	che-lla tenieno: |«Lasciate la damigella! |oE perché, |sire?, |disse uno cavaliere |che si mise immantanente avanti. |Perché la |lascerebbono elli? - |Per ciò, |disse Lancellotto, |che vo' non avete diritto in lei far morire. |— Si abbiamo, |sire, |disse quelli, 
1149	que nos l’avons atainte de murdre 	que nos lauons atainte do mudre 		car nous lauens actainte de meurdre 	que nous lauons atainte de murdre. 	ca ella fue acusada de muerte 	si grande come coloro |che-ll’ànno agiunta di tradigione 
1150|1151	dont je l’apelai, |et ele s’en offri a deffendre, 	que nos li meciens sus. |et ele sen offri a desfandre. 	dont ie lapellay. |et elle sen offry deffendre 	donc ie lappeloie/ |et elle sen offrit a deffendre 	dont iou lapelai |et elle sen offri a desfendre. 	e ella se ofreçio a defender porvn cauallero 	dond’io l’apellai, |ed ella se n’oferea difendere, 
1152	mais ele ne trova onques 	Mais ele ne troua onques. |cheualier 	mais elle ne trouua oncquez 	mes elle ne trouua enques cheualier 	mais elle ne trouua onques 	mas nunca fallo cauallero 	ma ella non trovò 
1153	qui por li en prist escu 	qui por li enprrist escu. 	qui pour lie en prist escu. 	qui pour elle portast escu/ 	qui zs escu en portast por li. 	que porella quisiese tomar escudo 	unque chi per lei prendesse scudo, 
1154	et ce n’est pas merveille, 	et se nest pas m̾ueille 	et ce nest pas de merueilles. 	et ce nest pas de merueille 	Et chou nest mie de meruelle. 	e no es marauilla 	e ciò non è mica maraviglia, 
1155|1156|1157|1158|1159|1160	que chescuns set bien |quele en a desloialment ovré. |— De quoi ? |fet Lancelos. |— |De ce, 	que chascuns set bien |comment ele en a erer |de coi fait lanc̃. 	car chascun sceit bien |quelle en a desloyaument ouure |de quoy fait lancelot. 	car chascun scait bien |quelle a desloyaument ouure |de quoy fait lancelot/ 	quar cascuns set bien |que elle a desloiaument oure. |De coi fait lancelot. |De chou fait cil 	ca cadavno sabe su deslealtad |e que es Esta deslealtad dixo lançarote |Que es dixo el Cauallero 	ché ciascuno sa bene |ch’ella à malvagiamente operato. |— Di che?, |disse Lancellotto. |— Di ciò, disse quelli, 
1161|1162|1163|1164|1165|1166|1167	fet il, |qu’ele delivra Lancelot |por Meleagan ocirre, son frere. |— Se vos, |fet Lancelos, |osiés mostrer |qu’ele eust fet traïson ne murdre, 	Decce fat cil que ele deliura lanc̃. |por ocirre meleagan son frere. |Ce uos fait lanc̃. |le uoliez mostrer |que ele fist traison ne murdre: 	De ce fait il quelle deliura lancelot |pour occire meleagant son frere. |Se uous ousiez monstrer fait lancelot |quelle ait fait traison ne murmure. 	de oster lancelot de prison |pour occire melleagant son frere |Adenc dit lancelot se uous uoullies dire |quelle aist fait traison ou meurdre 	que elle deliura lancelot de prison. |por ocirre melyagant son frere. |Se vous fait lancelot voles moustrer |que elle ait fait traison et murdre. 	que solto De Prision a lançarote |Para matar a meliangas su hermano |si vos dixo lançarote |osaredes mostrar que hizo deslealtad o traiçion 	ch’ella diliverò, |si come noi sapiamo bene, |Lancellotto di Lac di pregione per uccidere |Meleagant suo fratello. |— Se vo', |disse Lancellotto, |osate mostrare |ch’ella abbia fatto tradigione o murtre, 
1168|1169|1170|1171	je seroie pres del deffendre. |— |Qui estes vos? |fet cil. — 	Ie seroie pret del desfandre |Qui estes uos fait cil. uns cheualiers sui fait cil. 	ie suys prest du deffendre. |Oui estes uous fait il. 	ie suys prest de prouuer a lencontre. |Et pourtant aduises se deffendre le uoulles. |Qui estes uous fa⟦i⟧t celuy/ 	de che seroie iou tous pres de la desfendre |Qui estes vous fait cil. 	enlo soltar yo so presto dela defender |Quien sodes vos dixo el cauallero 	io son presto di difendella. |— Chi siete voi, |sire?, |disse quelli. 
1172|1173	Uns chevaliers sui, |fet Lancelos, 		Ie suys ung cheualier fait il 	cheualier suys fait lancelot	Iou sui vns cheualiers fait lancelot 	vn cauallero dixo Lançarote 	— Uno cavaliere sono io, |disse Lancellotto, 
1174|1175|1176|1177|1178	qui vieng ceste part |por ceste damoisele deffendre. |— |Par foi, |fet cil, 	Qui uing ceste part |por li desfendre. |Par foi fait cil. 	qui uiens ceste part |pour deffendre ceste damoisele. |par foy sire fait il. 	qui uiens uers ceste part |pour deffendre la damoiselle. |Par ma foy se ie uoulloie 	qui chi sui venus por rescorre ceste damoisele. |Desfendre fait cil. 	so que vengo aqui |poresta donçella defender |Por buena fee dixo el cauallero 	che vegno in queste parti per questa damigella difendere. |—Per fé, |disse quelli, 
1179|1180	se je voloie, |il ne m’en covendroit ja combatre, 	Ce ie uoloie il ne men conuanroit ia conbatre. 	il ne men conuiendroit ia combatre 	il ne men conuendroit ia deffendre. 	par foy se iou voloie. |il ne men conuendroit pas desfendre. 	si yo quisiere |no me conbatiria 	s’i' volessi, |e' non mi converebbe già combattere, 
1181	kar des ier en est ! ele atainte, 	Car des ier eu est ele ia atainte. 	si ie uouloye. |Car ia pieca en est elle ataincte 	car des hyer elle estoit attaincte 	Car des hier estoit elle atainte 	mas sobre esta rrazon que ayer se cumplio el plazo 	ché nfino ieri ne fu ella agiunta, 
1182|1183	puis qu’ele ne pot trover |qui la deffendist, 	puis que ele ne post trouer |qui la desfandist. 	puis quelle na peu trouuer |qui la deffende. 	puis quelle ne pouoit deffence trouuer/ 	puis quele ne pot desfendeor trouuer |qui la desfendist. 	enque ella se auia de defender |mas yo se |que no fallo quien la defendiese 	poscia ch’ella no poté trovare |chi-lla difendesse; 
1184	mais je sent ma querele a si loial et si droituriere 	mais ie sen ma querele si aloial. |et si a droituriere; 	mais ie sens ma querele a si loyal et si droiturier 	mes ie sens ma droicture si loyalle 	Mais iou y senc ma droiture si loial. 	mas yo se |que ella es asi enesto desleal 	ma i' so si mia ragione leale |e diritta 
1185	qu’il n’a chevalier el monde 	quil na cheualier el monde uers 	quil ny a cheualier ou monde uers 	quil n y a cheualier eu monde contre 	quil na cheualier el monde uers 	que no a cauallero enel mundo 	che non à al mondo cavaliere 
1186|1187|1188|1189|1190	vers cui je ne l’osaise bien prover au ? grant droit |que je i ai. |— |En non Dieu, |fet Lancelos, 	cui ie ne lo fasse bien prouer au grant droit |que gi ai. |EN non dieu fait lanc̃. 	qui ie ne losasse bien prouuer au grant droit |que ie y ay. |Certes fait lancelot ores y parra 	qui ie ne losasses bien prouuer. |Eu nen dieu fait lancelot 	qui iou ne losaisse bien moustrer au droit |que iou y ai. |En non dieu fait lancelot. 	conquien no me osare conbatir sobre esta Razon |ansi me esfuerço enmi gran derecho |enel nombre de dios dixo lançarote agora paresçera 	verso cui i' non l’osasse bene mostrare, |al gran diritto ch’io ò. |— nome di Dio, |disse Lancellotto, 
1191|1192	or i parra, |que je sui pres que je la desfende vers vos. — 	or i parra. |car ie sui pres que ie la deffande uers uos. 	car ie suys prest de la defendre uers uous uoire fait il. 	ie suys tout prest de la deffendre uers uous/ 	Ore y para quar iou sui tous pres que iou la desfende uers vous. 	que yo so presto dela defender de verdad 	or parrà, |ch’io son presto |ch’io la difenda inverso voi. 
1193|1194|1195|1196	Voire, |fet cil, par mon chief, |et vos en morrois |comme traitres et desloials. » 	Uoire fait cil. |par mon chief et uos en morrois comme traites et desloiax. 	par mon chef uous en mourres |comme traistre et desleal 	uoire dist celuy/ |par mon chief et uous en moures |comment traictre et desloyal/ 	voire fait cil. |Et par mon chief |et vous y morres |comme traitres et desloiaus. 	dixo el cauallero |porla mi caueza vos moriredes |porende como traidor |e desleal 	— Vere, disse quelli, |per mio capo voi ne morete come traditore e dislealeb. 
1197	Lors traient la damoisele loins del feu 	Lors traient la damoisele ensus del feu 	Lors tirent la damoisile au dessus du feu. 	Lors est la damoiselle reculee du feu/ 	Lors traient la damoisele loing del fu. 	e luego tiraron la donçella del fuego 	oAllor trae el cavaliere immantanente lungi del fuoco, 
1198|1199|1200	et li chevalier s’entreslongent li uns de l’autre, |si s’entrevienent |si tost com li cheval pueent aler 	et li cheualier sentͤa longuet li uns de lautre. |Si sentreuienuent nent |si tost conli cheuaus lor pueent aler. 	et les cheualiers se esloiguent si tost |que les cheuaux peuent courre 	et les cheualiers se eslongnent |et puys uiennent lun contre laultre tant come cheuaulx peuent courre/ 	et li cheualiers seslongent li vns de lautre. |puis sentrelaissent corre li vns vers lautre. |quanque il porent des cheuax traire. 	e los caualleros se dexaron correr el vno contrael |otro quanto los cauallos los pudieron lleuar 	e i cavalier si traslungano l’uno da l’altro, |si si travengono si tosto come i cavalli possono andare, 
1201	et s’entrefierent des glaives si durement 	Si sentrefierent des glaiues si durement 	et sentrefierent des glayues si fort 	et sentrefierent si durement 	si sentrefierent si durement 	e firieronse delas lanças tan fieramente 	e si trafegono delle lance 
1202	qu’il les font voler en pieces; 	quil les font uoler en pieces. 	quilz les font uoler en pieces. 	que les lances uollent en pieces. 	que lor glaiues volent en pieces. 	asi que las lanças fiçieron bolar en pieças 	sicché le fanno volare in pezzi. 
1203|1204	puis s’entrehurtent si des cors et des visages |qu’il n’i a celui 	puis sentrehurtent des cors et des uisages. |Si que il ni a celui 	puis sentrehurtent des corps et des uisages |si quil ny a celuy 	mes le cheualier ne se peult tenir en la selle/ 	puis sentrehurtent des cors et des uisages si durement |quil ni ot celui 	e toparon envno delos cuerpos 	WPoscia si |trapercuotono di corpi e di visaggi, |si che non v’à colui 
1205|1206|1207	qui tos ne soit estordis et desconreez. |Mais li chevaliers par est si estonés |qu’il ne se puet tenir en sele, 	qui tous ne soit estordis et desconrares. |mais li cheualiers est |Si estordis |quil ne se puet tenir en sele 	qui ne soit tout estourdy et estonne. |mais le cheualier est si estonne |qu il ne puet tenir en sele. 	ains uolle ius du cheual/ 	quil ne fust desconrees. |Mais li cheualiers fu si estordis |quil ne se pot tenir es archons de sa sele 	e delos yelmos |que el caballero no se pudo tener enla silla 	che tutto non sia stordito e discassato. |Ma il cavaliere pare sì |istordito |che non si può tenere in sella, 
1208|1209	ains vole jus del cheval et al parchaoir feri |li quins del hialme en la terre, 	ains bale a terre. |et au parcheoir feri li coins en cͣre del hiame. 	ains uole ius du cheual. |et au choir fery |li quint du heaume en terre 	et au choir ferit le coing du feaulme a terre 	Ains uole ius de son cheual, |Et au fn el chair feri li coins de son heaume en terre. 	ante cayo del caballo en tierra 	anzi vola giù del cavallo: |al cadere fedi il jeru† de l’elmo in terra, 
1210|1211|1212|1213|1214	si qu’a bien pou |qu’il n’a le col brisié. |Et quant Lancelos a fet son tour, |si descent, |kar honte li seroit de requerre a cheval celui 	Si qua bien pou |que cil na le col brisie. s quant lanc̃. a fait son cor si descent |Car honte li fust de requerre a cheual celui 	si qua pou quil na le coul froisse |Et quant lancelot a fait son tour si descent. |car honte luy seroit de requerre a cheual celuy 	si que a pou quil na le col brisie. |Et quant lancelot le uoit |si descent a pie 	si qua poi quil not le col brisie. |Et quant lancelot ot fait son tor |si descent quar hontes li samble s de requerre a cheual celui 	e al caer |ouierasele el pesqueço de quebrar |ca dio de cabeça del yelmo en tierra |e quando lançarote torno desçendio |ca el lo no queria acometer de Cauallo 	sicché a poco che non à il collo rotto. |oE quando Lancellotto à fatto suo torno, |si discende, |ché onta gli sarebbe di richiedere colui a cavallo 
1215|1216	qui est a pié; |si trait l’espee et cort sus a celui 	qui estoit a pie. |Si trait lespee et cort sus celui 	qui est a pie. |si trait lespee et court sus a celuy 	et tire son espee et court sus a celuy 	qui estoit a pie. |Si trait lespee et corut sus a celui 	porque el estaua de pie |e metio mano al espada |e fuese parael 	tanto come sia a piè discenduto, |e corre suso a colui 
1217|1218	qui ja se relevoit, |si li done par mi le hialme tel cop 	qui ia ce releuoit. |Si li done si grant cop parmi le hiaume 	qui ia se releuoit. |si luy donne si grant cop par my le heaume 	qui ia se releuoit/ si luy denne tel coup sur le chief 	qui ia se releuoit. |Si li donne parmi le heaume tel cop 	que ya hera leuantado |e diole tal golpe ençima del yelmo 	che si rilevava, |sì gli dona tal colpo per me l’elmo 
