micha-iv-75-5	fr333-iv-75-5	fr111-iv-75-5	sommer-iv-75-5	inc-iv-75-5	fr751-iv-75-5	lanzarote-iv-75-5	lancellotto-iv-75-5
car si Paej se Deu plest. m’aïst Diex, je le voldroie bien. » 	se diex plest. sire diex lotroit fet ele.  Car si mait diex. ge le uoldroie bien. 	si dieu plaist.  Dien loctroye fait elle. 	se dieu plaist.  Diex le vous otroit fait elle. 	dieu le doint fist elle  et se maist dieu ie ne le uouldroye pas quoy 	que ie le uorore 	ca si dios me salue mucho me plazeria ende 	se Dio piace.  —- Dio il consenta, diss’ella 
							ché se m’aiuti ldio, i' nol vorei micas. 
Si s’em part atant li uns de l’autre.  Quant il sont J. poi esloingnié, 	Si sen part antant li uns de lautre. quant il sont .i. poi esloingie. 	car si maist dieu ie le uoudroye bien  Comment les compaiSi sempart atant lun de lautree.  et quant ilz sont ung pou esloignez 	Car si mait diex fait elle iou uoldroie 	que ie die  si se partirent a tant lun de lautre Quant ilz sont ung pou esloingnez 	si se part atant li uns de lautre.  quant il sont eslongnie .i. arpant li uns de lautre: 	entonzes se partio la donzella del y fuese su Carrera 	Si si parte atanto l’uno d’altro.  Quando sono un poco islungati, 
si dist li vallez a Lancelot: « Sire, por Deu,  car creez conseil 	si dit li uallez a lanc̃. Sire pour dieu  quar creez conseil 	si dist le uarlet a lancelot pour dieu creez conseil 	que vous eussies moult donor  et que moult de bien vous auenist  ors sen partent li vns de lautre.  Et quant il sont. i. poi eslongie. li ualles li dist sire pour dieu quar crees consel. 	si dist le uarlet a lancelot. Sire pour dieu retournens/  et demandez conseil 	si li dit li escuiers Sire crees conseil. 	Como don lançarote Vio los Caualleeros E las donzellas danzar 	si disse il valletto a Lancelotto:  ePer Dio, c’or crede buon consiglio  e abiate pietà di vo' medesimo 
et aiez pitié de vos meesmes et retornez. N’avez vos oi  que cele damoisele  qui onques mes ne vos vit est couroucie de vos 	et aiez pitie de uous meismes. Et retornez Nauez uous oi de ceste damoisele  qui onques mes ne uous uit.  qui est courreciee de uous. 	et ayez pitie de uous mesmes et retournez. Nauez uous pas ouy de ceste damoisele  qui oncques mais ne uous uit  qui est corroucee de uous 	et aies pitsije de vous meismes.  Si retornes. En aues vous oi ce  que celle damoisele a dit.  que vous ales a uostre mort. 	et ayez pitie de uous mesmes ne auez uous point oui ce  que la damoiselle a dit qui oncques  mais ne uous ueist cest 	et aiez merci de uos ueez uos  que ceste damoisele  qui onques mais ne uos uit est de uos correcie. 	y entro enla danza  Despues quela donzella se partio 	e ritornate! Non avete vo udito questa damigella  ch’unque mai non vo vide,  e si è si crucciata di voi 
et a vos a dit  que vos alez a mort ? Malement em pesera or a cels  qui vos connoissent,  quant a cels 	et dit  que uous alez a uostre mort.  malement em pesera ore a cels  qui uous connoissent. quant a ceus 	et dit  que uous alez. a uostre mort.  Malement en pesent ores a ceulx  qui uous cognoissent  quant il en poise a ceulx 	Malement en pesera ore a ceuls  qui vous connoissent et qui vous sont carnel ami :  quant a ceuls 	que uous allez a uostre mort mallement en desplaira a ceulx  qui uous congnoissent  quant a ceulx	et dit  que uos alez a uostre mort.  Malement en pesera cex 	de don lanzarote dixo el escudero abed duelo devos  pues quelos estraños loan 	e vo disse  che voi andate a vostra morte? Malamente ne peserà a quelli  che or vo conoscono,  quando a coloro 
				qui oncques 			
qui onques mais ne vos virent em poise.  Por Deu, retornez 	qui onques mes ne uous uirent em poisse.  pour dieu retornez 	qui oncques  mais ne uous uirent.  Pour dieu retournez tant 	qui onques mais ne vous virent en poise  et fait trop grant mal  Pour dieu retornes 	mais ne uous uirent en sont dolens pour dieu sire retournez/ 	qui ups quenoissent.  Por dieu sire retornez 	y non vedes aquella donzella  que vos nunca vio  quanto duelo a de vos  puesque faran los que vos conozen 	ch’unque ma non vo vidono ne pesa.  ePer Dio, sire, ritornate 
tant com vos en avez le loisir,  et je por l’amor de vos retornerai  por vos faire compaingnie 	tant comme uous en auez loisir.  Et ge por lamour de uous retornerai  por uous fere compaingnie 	que uous en auez le loisir.  et ie pour amour de uouss retourneray  pour uous faire compaignie 	tant comme vous en aues loisir.  et iou retornerai pour lamour de vous 	tant comment uous en auez loisir  et moy pour lenneur de uous retourneray  pour uous faire compaignie 	tant com uos en auez loisir .  et ie por la mor de uos retornerai  et uos ferai compangnie. 	y pormi consejo vos tornariades mientras tenedes tiempo  que despues non podredes 	tanto come vo n’avete il lecere,  e io per l’amore di voi ritornerò  per voi fare compagnia tanto 
tant que vos soiez fors de la forest.»  Et il dist 	tant que uous soiez hors de laforest.  Et il dit 	iuqua ce que uous soyez hors de la forest.  et il dit 	tant que vous seres hors de la forest . Et il dist 	tant que uous soyez hors de la forest  et il dist 	tant que uos serois hors de la  forest.et il dit 	aunque querades Callad 	che voi siate fuori della foresta».  Ed e' dice 
qu’il nel feroit en nule manniere,  mes test s’an ;  et il dist 	quil nen feroit en nule maniere. mes taise sen atant.  et li uallez a dit 	quil nen fera riens  mais se taise.  et dit 	que ce ne feroit il en nulle maniere.  mais taisent.  Et li ualles dist 	que cella ne fera il pas  mais quil sen taise  et cellui dist 	que non fera.  et cil dit	que non lo faria  por todo el señorio dela gran bretaña  entonze Callo el escudero 	che nol farebbe i'nulla maniera,  ma ataci teb. Ed e' dice 
qu’il n’em parlera jamais,  puis que ses cuers i est atornez.  Si ont tant alé 	quil nen parlera iames. pus  que son cuer y est atornez.  Si ont tant ale 	qu'il nen parlera plus.  Si sont alez 	quil nen parlera iamais  puis quil voit que il li desplaist  et que sez cuers y est atornes.  Si ont tant ale 	quil nen parlera plus/  puis qu il ne lui plaist.  Si ont tant cheuauche 	quil nen parlera iamais.  Tant ont ale 	quele non dixo mas y ellos andubieron tanto  que llegaron avnos prados muy grandes 	che non ne-lli parlerà giamai,  poscia che suo cuore n’è si atornato. l 
			quil vienent en vne trop bele praerie 				
		tant quilz sont uenuz en une molt belle praerie 					
qu’il vindrent en J. molt bele praerie devant J. tor ou il avoit tandu dusqu’a XXX. pavillons les plus biax et les plus riches 	quil uindrent en une molt bele praerie deuant une tour.  ou il auoit tenduz iusqua. .xx. paueillons. et les plus riches 	deuant une tour  ou il y auoit .xx paueillons tenduz les plus beaux et les plus riches 	qui estoit deuant vne tour.  et y auoit tendus iusques a trente paueillons lez plus biaus et lez plus riches 	quilz uindrent en une moult belle prarie deuant une tour/  ou il y auoit bien iusques a .xxx. paueillons/ les plus beaulx/ et les plus riches 	quil uiennent en une praerie deuant une tor.  Ou il auoit bien .xxx. pauillons. et les plus riches 	que estauan antevna torre  y estauan ay treinta tiendas armadas 	
que Lanceloz eust onques mes veu a son esciant.  An mi les pavillons avoit III. granz pins parcreuz  et estoit li uns contre l’autre autresi  comme a la reonde,  et en mi leu avoit une chaiere d’yvoire couverte d’un vermeil samit  et desus le samit avoit J. couronne d’or granz et pesanz.  Tout entor les pins avoit chevaliers et dames, 	que lanc̃. eust onques mes ueuz a son escient.  Et enmi les paueillons auoit .iiii. granz pins parcreuz.  et estoit li uns contre li autre. einssi tout a la reonde.  Et el milieu auoit une chaiere dyuoire couuerte dun uermeil samit.  Et desus le samit auoit une coronne dor grant et pesant. Et tout entour le pui auoit cheualiers. et dames. 	que lancelot eust oncquez ueu a son esciant. Es paueillons y auoit troys  puis lun contre lautre aussi  comme a la ronde.  Et ou milleu auoit une chaere dyuor recouerte dung uermeil samit.  et dessus le samit auoit une couronne dor grant et pesant. et tout entour les pins y auoit dames et 	que lancelot eust onques mais ueu a son escient .  Et en mi lez paueillons auoit. iiij. grans pins.  et estoit li vns contre lautre comme a la reonde.  Et el mi lieu auoit vne caiere couuerte de samit uermeil.  si estoit la caiere dyuoire  Et dessus le samit auoit vne coronne dor grant et pesant.  Et tout entour lez pins auoit cheualiers et dames. 	que lancelot eust oncques ueuz au millieu des paueillons auoit .iiii. grans pins/  si estoient lun coste lautre ainsi  comme a la rende/  et au millieu auoit une chaire dyuire couuerte de ung uermeil samit/  et dessus le samit auoit une courenne dor grande et poisante, tout entour les pins: auoit dames damoiselles et cheualiers armez et desarmez: 	que len ueist onques.  et enmi erent .iiii. pin haut. et estoit li uns encontre lautre  si com il fussent a la reonde. et enmi auoit une chaiere d iuoire couuerte dun uermeil samit.  et desus le samis auoit une corone dor. drecie desus une uerie dargent. et estoit la corone mout grans et mout pesans.  et tout entor les pins auoit dames et damoiseles et cheualiers iusqua .lx. 	y muy Ricas  y en medio dellas estauan quatro pinos muy grandes todos enderredor vno ençerca de otro  y entre los pinos estaua vna entrada devn marfil cubierta devn jamete vermejo  y enmedio della estaua vna bara de plata y ençima dela vara estaua vna Corona de oro muy Rica 	Si ànno tanto andato  ch’elli vengono in una molto bella prateria davanti una molto bella torre 
si estoient li un des chevalier armé et li autre desarmé et queroloient tiex i avoit, les hiaumes laciez,  ausi com se ce fust fermaille,  et tiex i avoit  qui queroloient en cotes  et en mantiaux  et tenoient damoiseles par les mains  et tiex en avoit i qui ne tenoient ne dames ne damoiseles,  ainz tenoient chevaliers par ses mains  dont il i avoit assez plus que de damoiseles. 	Si estoient li uns des cheualiers armez. et li autre desarmez.  Et caroloient tiex y auoit les hialmes laciez aussi  comme se ce fust fremaille.  Et tielz y auoit  qui caroloient en cotes et en mantiaux.  Et tenoient les damoiseles par les mains.  dont il y auoit assez 	cheualiers.dont les ungs cheualiers estoient armez et les autres desarmez.  et caroloient telz y auoit les heaumes lacez.  aussi y en auoit  qui caroloient en cotes et en manteaux  et tenoient damoiseles par les mains  dont il y auoit assez. 	si estoit li vns armes et li autres desarmes  et caroloient teuls y auoit  qui auoient lez heaumes lacies autresi  comme se ce fust fremaille. Et teuls y auoit  qui caroloient en cotes et en mantiaus et tenoient damoiseles par lez mains.  Et teuls y ot  qui ne tenoifenlt ne dame ne damoisele.  ains tenoient cheualiers  dont il y auoit asses plus que de dames ne de damoiseles. 	si dancoient les aucuns les heaulmes lacez aussi  comme  se ce fust par gaigeures les aultres en costes/ et en manteaulx  et tenoient les damoiselles par les mains: et telz y auoit  qui ne tenoient ne dame ne damoiselle/  aincoiz tenoient les cheualiers lun lautre par les mains/  dont il y auoit a foi sen plus que de dames ne de damoiselles. 	dont li un erent arme  et li autre desarme  et tex i uoit en cotes et en mantiax  et tenoient lor damoiseles par les mains et tex en ni ot  qui nen tenoient nules  ains tiennent cheualiers par les mains  dont il i auoit plus que de dames  ne de damoiseles 	y enderredor delos pinos andauan  fasta quarenta entre dueñas y donzellas y caualleros dançando todos  y Quando los vido don lançarote dixo al escudero  non me vala dios  si esta no es fermosa auentura 	
Et quant Lanceloz vint cele part  et il vit les queroles 	Et quant lanc̃. uint cele part  et il uit les caroles 	Et quant lancelot uint celle part  et il uit les caroles	Quant lancelot vint cele part et il vit lez caroles 	Et quant lancelot uint celle part 	Qnent lanc̃ uint cele part il uit les caroles 	y desçendio del Cauallo 	
dont li pin estoient avironné,  si s’en merveille molt  et toutes voies dist au vallet: «  Molt a ci bele compaingnie  et ranvoisie gent ! Il ne monstrent mie  que l’an ne puist par ceste forest aler seurement et dahaiz aie,  se je ne vois savoir  de quoi il font si grant feste. »  Lors se fiert es pavillons  et si tost com il a le premier encontré,  si li mue li sans  et li change li talanz: 	qui souz les pins estoient enuironnees  si sen merueille molt.  Et touteuoies dist au uallet. molt a ci bele compaignie.  et renuoisiee gent. Il ne moustrent mie  que len ne puisse par ceste forest aler seurement. et dahaiz aie ge se ge ne uoiz sauoir  de quoi il font si grant feste. LOrs se fiert es paueillons  et si tost comme il a le premier encontre.  si li mue le sens  et li change li  talenz.Car	dont les pins estoient auironnez  si se merueille moult et dist au uarlet moult a cy belle compaignie  et enuoise gent.  Ilz ne monstroit pas  que len ne puisse bien aller en ceste fourest seurement. et ie uoys sauoir  de quoy ilz font si grant feste.  Lors se fiert es paueillons  et si tost  quil a le premier encontre si luy mue le sens  et luy change le talent. 	dont li pin estoient auironne.  si sen esmeruelle moult et dist au uallet. moult a Shi bele compaignie de gent.  Et moult sont ore enuoisie gent.  par foy il ne moustrent mie  que on ne puist passer parmi ceste forest hardiement. et dehe aie iou.  se iou ne vois ueoir  de coi il font si grant feste.  ors se fiert es pauellons  Et si tost comme il ot passe le premier dez paueil E lons  si li est mues li corages. 	si sen merueilla moult  puis dist au uarlet Icy a moult belse compaignie/  et moult ioyeuse ilz ne monstrernt pas que len ne puisse aller parmi ceste forest seurement/  et maudit soye ie se sauoir  ne uoys  de quoy ilz font si grant feste/ lors se fiert es paueillens  et si tost comment il a le premier passe:  si mue sen cueur  et lui change sen couraige 	dont li pin erent auirone.  Si se merueille mout  que ce puet estre. et totesuoiez dit au uarlet mout a ci belle compaingnie. Il ne moustrent pas  que len ne doie aler seurement par ceste forest.  et dehais aie ie  se ie ne uoi demander  de qoi il font feste. Lors ce fiert parmi les pauillous.  et si tost com il a passe le premier  si li mue li talans autre 	y dexolo al escudero  y fuese alla  e tomo ala primera donzella que fallo porla mano  e comenzo a cantar y a danzar  como los otros  e luego oluido toda caualleria 	
car s’il devant n’avoit i talant fors de chevalerie et d’assaut et de meslees comancier,  or est ses voloirs a ce menez  qu’il n’a talant fors de queroler;  si oublie sa dame et ses compaingnons  et soi meesmes en tel manniere  qu’il ne l’an souvient mais, 	deuant nauoit talent fors de cheualierie. et dassault et de meslees.  Or est ses uoloirs a ce menez  quil na talent fors de quaroles si oublie sa dame et ses compaingnons.  et soi meismes en tele maniere  quil ne len souient mes. 	Car deuant nauoit il talent fors de cheualierie et dassault et de meslees.  Or est son uouloir a ce mene  quil na talent fors que de caroler. si oublie sa dame et ses compaignons  et soy mesmes en tel maniere  quil ne luy en souuient. 	quar il nauoit deuant nul talent  fors de faire cheualerie dassaut ou de mellee commencier.  ore est ses talens a chou menez quil na talent fors de caroler.  Si en oublie sa dame et sez compaignons et soi meismes  quil ne li souuient de nullui. 	Car se deuant nauoit tallent fors que de assaulz et de meslees commencer/ or est son uouloir a ce mene  quil na tallent  que de dancer/  si oublie sa dame/ et ses compaignons et soy mesmes en telle maniere/  que plus ne lui en souuenoit/ 	que il nauoit. deuant.  Car il nauoit talant fors de cheualerie essaucier .  Or est ses uoloirs a ce menez  quil na talant fors de leesse. et oblie sa dame la roine. et sa mainie et ses compangnons. et descent de son cheual  et le baille a .i. garson. 	y el amor dela Reyna  y todas las otras cosas e no sele venia amientes de otra cosa  sino de aquello 	
