micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
— Por quoi fet il — Por ce que se li chevalier de cest païs savoient que l’en len deust porter il feroient gaitier les trespas si qu’il seroit arestés en alcun lieu ;	Por ce fait il que ce li cheualier de cest pais sauoient que on le deust laiens porter: il feroient garder les trespas si que il seroit arester en aucun lieu	que nous mouissons de nuit pourcoi fait lancelot pour chou fait il que se li cheualier de chest pais le sauoient que on len deust emporter il feroient gaitier lez trespas Si quil seroit arrestes en aucun lieu	pour quoy fait il par ce que si les cheualiers de ce pays sauoient que len le deust la porter ilz feroient guecter les trepas si quil seroit arreste en aucun lieu	Pour quoy fait lancelot Pource fait il que se les cheualiers de ce pais sauoient que len le deust emporter ilz feroient garder le trespas	Porque dixo lançarote porque señor dixo el cauallero porque si los caualleros desta tierra lo supieren que de aqui lo queredes llebar faran guardar los tres pasos asi que sera detenido en algund lugar	— Perché disse Lancellotto — Per ciò diss’elli che s’e cavalieri di questo paese sapessono che l’uomo ne l dovesse portare elli farebono guardare intra’ passi sicché sarebbe arestato in alcuno luogo
et por ce vos loeroie je qu’il meust orendroit kar il seroit bien eslongiés ains qu’il fust jors	et porce loeroie ie que il meust orendroit Car il seroit bien eslongiez	Et pour chou vous loeroie iou quil meust orendroit Car il seroit eslongies	et pour ce uous loueroye ie quil meust maintenant car il sera bien esloigne auant quil soit iour de uingt lieues anglesches	Et pour ce uous conseilleroie que on partist	e poresto seria bien	E perciò vo lodere' io che vo' movereste oraindiritto ché l’uomo sarebbe bene islungato
XX lieues englesches	xx lieues Galesches ains quil fust iors	X lieues ains quil fust iors		car il seroit bien eslongnie ains qu il feust iour dix lieues anglesches	que nos alongasemos de aqui esta noche vnas diez leguas bien acordades Dixo lançarote	leghe inanzi che fosse giorno
Et il s’i acorde bien; si met la litiere sor Il palefrois amblans et enportent ensi Galehout fors de sa region;	et il si acorde bien Si mestent la biere seur ii cheuaus anblans et enportent ainsi Galeh̾ fors de la religion	Et il si acorde bien si fait mettre le litiere sor ij palefrois Et emportent ensi Galeholt hors de la maison	Et il si accorde bien si mect la litierie sur deux palefroys amblans et emportent ainsi galehot hors de la religion	Et il se y accorde si met la littiere sur deux pallefrois amblans et emportent ainsi gallehaut hors de la maison	e luego fiço poner las andas sobre dos palafrenes muy andadores e lleuarlo	VEd e' vi s’acorda bene si mette la lettiera sopra due palafreni ambianti sinne portano Galeotto fuori della religione ma molto ne sono
si en font li frere grant duel et molt en sont corocié et dolenta de ce que l’en l’enporte Et Lancelos le convoie grant piece de nuis plorant	Si en font li frere mout grant duel et mout en sont dolent et lanc̃ le conuoie gn̾t piece de nuit plorant et plangnant	Si en ont li frere grant doel de ce que on lemporte Et lancelot le conuoie grant piece de la nuit plaignant	si en font les freres grant deul et sont moult corroucez et doulans de ce qui len lemporte Et lancelot li conuoye grant piece de nuyt plourant et plaignant	Si en ont les freres grant deul et sont dolens que on lemportoit Lancelot le compartie uoie grant piece de la nuit plourant et plaignant	asi Mas mucho ouieron gran pesar los frailes quando asi lo vieron lleuar e lançarote fue gran pieça llorando conel cuerpo de Galeote	e frati di là entro dolenti e crucciati dell’uomo che ne l porta sE Lancellotto l’acompagna gran peza della notte piagnendo
et regretant sa proesce et sa valor	et regretant sa proesce	et plorant sa valour	et regretant sa prouesce et sa ualeur	et regrettant sa prouesse et sa ualeur	e diçiendo sus proezas e su valor	e facendo duolo e rigratando sua prodeza e suo valore
et se ne fust la damoisele	et se ne fust la damoisele	Et se ne fust la damoisele	et se ne fust la damoisele	Et se ne feust la damoiselle	e si no fuese porla donçella	e se non fosse la damigella
qui avec lui estoit molt en eust plus fet qu’il ne fist mais ele l’en detorna et il deffendi al chevalier que il nel feist en terre metre devant que il fust venus Si se part atant li uns de l’autre	qui auec lui estoit mout en eust plus fait quil ne fist mais le le desfandi au cheualier que il ne fust enterres deuant que lanc᷑ i fust uenus Si se partent li un de lautre	qui auec lui estoit moult en eust plus fait mais cele len destorna Et il commanda au cheualier quil ne fust enterres deuant chou quil venist a lui A tant sen part de lui lancelot	qui auec luy estoit moult en eust plus fait quelle ne fist mais elle len destourna et il deffendy au cheualier quil ne le fist mectre en terre uicquez a ce que luy mesmes y fust Si se part atant lun de lautre	qui auec lui estoit moult en eust fait plus quil ne faisoit: mais elle len destourna Et lancelot commande au cheualier qu il ne feust enterre deuant quil uenist Si se depart de lui	que del lago auia venido Mucho fiziera mayor duelo mas ella selo estoruaua e anteque lançarote del cuerpo se tornase Dixo al cauallero yo vos defiendo Que el Cuerpo demi señor galeote no fagades enterrar fastaque yo mesmo alla vaya e el Cauallero dixo que asi lo faria entonçe se partio dellos lançarote	che con esso lui era molto n’avesse più fatto che non fece Ma e' se ne distornò quand’e l’à gran peza insì acompagnato sì se ne tornò ma inanzi difende elli al cavaliere che l’uomo nol facesse soppellire nella Gioisosla Guardia inanzi ch’e' vi fosse venuto si si parte atanto l’uno da l’altro
et il retorne a l’abeie si se couche c’onques la nuit ne volt mengier ne boivre por chose que l’en li deist ains plora et dolosa tot adés;	et lanc̃ retorne a labeye et se coche ne onques la nuit ne uot mangier ne boire por chose que len li deist ains plora et dolosa tout ades	et retorne a labbaye si se couche Ne onques la nuit ne volt mangier ne boire pour chose que on li deist ains ploret dolosa tout ades	et lancelot retourne a labaye si si couche ne oncquez la nuit ne uoult boyre ne manger pour chose quon luy dist ains pleura et dolousa	et retourne a la religien se couchier et oncques ne uoulut la boire ne mengier	e tornose al abadia mas en toda aquella noche no quiso comer ni veuer por cosa que le dixesen e non fazia sino llorar	Lancellotto ritorna alla badia si si coricò né unque la notte non volle mangiare né bere per cosa che l’uomo gli dicesse anzi piagne e dolora tutto adesso
si li anuioit molt li jors	si li anuia mout li iors	Si li anoia moult li iors	si luy ennuyoit moult le iour	si lui ennuya moult le iour	e mucho se quexaua	si gli anoiava molto il giorno
qui tant demoroit a venir	qui tant demora a uenir	qui tant demoroit :	qui tant demouroit a uenir	qui tant demouroit a uenir	Porque tanto aquella noche le duraba	che tanto penava a venire
a Al matin	Au mation	Et au matin	Au matin si tost	Et au matin	e luego	lsAl mattino
si tost com li jors aparut se leva	si tost com li iors aparut se lena lanc̃	si tost com li iors apparut se leua	que le iour apparu se leua lancelot	si tost comme le iour apparust se leua	Que el dia aparesçio lançarote se leuanto	si tosto come il giorno aparve si leva Lancellotto
et oi messe entre lui	et oi messe entre lui	et oy messe entre lui	et ouy misse luy	et ouist messe lui	e la donzella otrosi	e udi messa intra lui
et la damoisele	et la damoisele	et la damoisele	et la damoisele	et la damoiselle	e fueron a oyr misa	e la damigella
et puis s’arma Lors li dist ele les noveles de Boort	et puis sarma et lors dist ele les nouelles de behort	lors li dist elle lez noueles de bohort	et puis sarma et lors luy dist elle les nouueles de boort	Lors elle lui dist nouuelles de boort	e desque la misa fue aCabada Armose e despidiose del fraile e entro ensu camino conla donzella e ellos	e poscia s’armò Allor gli disse la damigella novelle di Boordo
					asi yendo la donçella le conto nuebas de boores	
et ce qu’ele en avoit veu devant Honguefort et il en fu molt liés	et se quele en auoit uen deuant le chastel de honguefort et il en fu mout liez	comment elle lauoit veu deuant hongrefort et il en fu moult lies	et ce quelle en auoit ueu deuant hunguefort et il en fut moult lie	et que elle lauoit ueu deuant a honguefort et comment il le fait et il en fut moult ioyeux	e de como le contesçiera enel castillo de ongeforte e el fue dello muy alegre	e ciò ch’ella n’avea veduto davanti Unguelforte ed e' ne fu molto lieto
Et ele li dist Sire	et ele li dist	Et elle li dist	si luy dist	Aprez elle lui dit	e ella le dixo sabed señor	Ed ella gli disse
il vos vet querant ne jamés ne finera tant qu’il vos avra trové — Damoisele fet il se vos le cuidiés trover ains de moi je vos voldroie proier	Sire il uos ua querant ne ia mais ne finera tant quil uos ait troue ha; damoisele fait il se uus le cuidiez trouer ains de moi Ie uous uodroie prier	Sire il vous ua querant ne iamais ne finera deuant ce quil vous aura trouue Damoisele fait lancelot se vous le quidies auant trouuer de moi iou vous voldroie proier	Sire il uous uait querant ne iamais ne finera iucqua ce quil uous ait trouue Haa damoistle fait il se uous le cuidiez trouuer auant moy ie uous uoudroye prier	Sire il uous ua querant ne iamais ne finera deuant quil uous aura trouue Damoiselle fait lancelot se uous le trouuez auant que moy ie uous uouldroie prier	que vos a buscado e nunca jamas quedara fastaque vos falle Ay donçella dixo lançarote si vos lo cuidades fallar yo vos querria rrogar	Sire e' vo va cheggendo né giamai non finirà infino a tanto che voi abbia trovato —Hal damigella diss’elli se voi il credete trovare anzi di me i' vo vorrei pregare
que vos feissiés tant por moi que vos li portissiés ceste espee	que uous feissiez tant por amor de moie: que uos li portissiez ceste espee	que vous li portissies ceste espee	que uous feissez tant pour amour de moy que uous luy portassee ceste espee	que uous lui porteissiez ceste espee	que fiziesedes tanto pormi quele llebasedes esta espada	che voi faceste tanto per l’amor di me che voi gli portaste questa spada
qui fu mon seignor Galehout	qui fu monsignor Gal̾	qui fu monseignor Galeholt	qui fu a messire galehot	qui fut a mon compaignen gallehaut	que fue demi señor galeote	che fu di monsignor Galeotto
et li dites qu’il la DOrt de par moi que molt est bone	et li dires quil laport de par moi car mout est bone	Et li dites quil le port de par moi quar elle est moult bone et moult bele	et luy dices quil la porte de par moy car moult est bonne	et lui dictes quil la porte de par moy car elle est moult bonne et belle	e dezilde quela traiga pormi amor ca mucho es buena	e gli dite che lla porti da parte di me ché molto est buona
Et ele dist qu’ele le trovera par tens et bien fera cest message;	et ele dist que ele le trouera par tans et que bien fera cest mesaige	elle dist que elle le trouuera bien par tamps et bien fera ce dist cest message	Et elle dit quelle le trouuera tantost et que bien fera ce message	Et elle dist que elle le trouuera par temps et bien fera ce message	e fermosa yo lo fare dixo la donçella de grado	Ed ella dice ch’ella il troverrà per tempo e bene farà questo mesaggio
si s’en part atant de lui	Atant se part de lanc̃ la damoisele	Si sen part atant de lui	si se part atant de luy	Si se part atant de elle	Luego se partio el vno del otro	si si parte atanto di lui
et il s’en vet droit vers le chastel de Floego	et il sen ua tout droit uers le chastel de floego	Et il sen vait uers le castel de florega	et il sen ua tout droit uers le chastel de fleogo	et sen ua uers le chasteau de florega	e lançarote se fue contra el castillo de florenga e andubo tanto	Ed e' se ne va tutto diritto inverso el castello del Flego
si i vint a hore de prime	Si i uint a hore de prime	Si y uin entor prime	si y uint a heure de prime	si y uint entour prime	que llego alla ante de prima	si vi venne a ora di prima
Et il esgarde es pres defors la vile si voit molt grant gent entor le feu ou l’en devoit ardoir la suer Meleagan et quant il aperçoit le feu si a poor de la damoisele Lors broche le cheval	et des garde es pres de fors La uille si auoit mout de gent entor i fe Et quant il aparsoit le feu si a paor de la damoisele et lors broche li cheual	Et il regarde en mi lez pres dehors la vile Si vit moult grant gent entor vn fu ou on deuoit ardoir le suer melyagant	et il regarde es prez dehors la uille si uoit moult grant gent entour ung feu Et quant il aparceut le feu si a paour de la damoisele	et il regarde es prez hors la uille si y uist moult grant gent entour ung feu ou len deuoit ardoir la seur de meleagant Quant il apperceust le feu si eut grant paour de la damoiselle Lors frappe le cheual des esperons	e vio ante la villa gran jente alrrededor de vn fuego e en aquel fuego auian de quemar ala hermanade meliangas e lançarote	Ed e' riguarda nel prato di fuori la villa si vi vide molto grande gente intorno uno fuoco e quando elli apressima al fuoco si à paura della damigella che già era menata al fuoco per distrugere i brocca il cavallo delli isproni
