,micha_iv-75.txt,inc-iv-75.txt,lanzarote-iv-75.txt,sommer_tome_5_iv-75.txt,lancellotto-iv-75.txt
4280|4281,si saut dou lit tant dolanz|que nus plus,Et tout en haste sault du lit tant dolent,,si saut erranment hors del lit|si dolans comme nuls plus,
4282|4283,et prant sa chemise|et ses braies,que merueilles print sa chemise,,& prent sa chemise|& sez braies,
4284,et se vest,et puis se chaussa,,& se uest,
4285,et chauce,et uestit,,& chauce,
4286,et prant ses armes¬,puis print ses armes,,& prent sez armes,
4287,Quant il fu touz armez il vient a la chambre ou il avoit geu,et quant il fut tout arme il uint en la chambre|ou il auoit couche,,Et quant il est tous armes|si sen reuint en la cambre ou il ot geu,
4288|4289,et ouvre les fenestres ;|et quant il voit cele par cui il a esté deceuz,et ouurit les fenestres|Et en regardant celle par|qui il auoit este deceu,que comieron a todo su talante y alçaron las mesas dixo el Rey a don lanzarote amigo,si oueures lez fenestres|Et quant il a ueu celle de E par|qui il a este deceus,
4290,si est tant dolanz qu il cuide bien issir del sans ;,si fut tant dolent qu il cuida bien yssir du sens,,si est tant dolans quil quide bien issir del sens,
4291,si panse qu il s en vengera orandroit sanz plus atandre,si se pensa quil sen uengeroit sans plus attendre,,si pense quil sen uengera orendroit sans plus atendre,
4292,Lors traist l espee,Lors tira son espee,,Lors trait lespee,
4293|4294|4295|4296|4297|4298,et vient vers la damoisele|et dist trop durement iriez Damoisele|vos m avez mort:|si couvient|que vos en muiriez|car je ne voil,et sen uint uers la damoiselle|et lui dist Trop durement damoiselle mauez uous moque|mais uous en mourrez Car ie ne uueil pas,que vos semeja dela donzella,et vint uers la damoisele|& fu trop dolans|et trop durement iries|Et dist damoisele vous maues mort|Si conuient|que vous en muiries quai iou ne voel mie,I'credea veracemente|ch elli fosse morto ma poscia
4299,que jamais decevoiz home en tel manniere com vos m avez deceu,que iamais deceuoir cheualier en telle maniere comment uous me auez deceu,,que vous iamais deceues homme en tel maniere comme vous maues deceu,
4300,Lors dresce l espee contremont,Lors dreca lespee contrement,,Lors hauce lespee,
4301|4302|4303|4304,et cele|qui grant paor a de morir li crie merci a jointes mains|et dist Ha frans chevaliers ne m oci mie|por cele pitié,Et la damoiselle|qui grant paour auoit de mourir|lui cria mercy a iointtes mains|en luy disant|Ha ha franc cheualier ne me occiz mie pour celle pitie,que el vaso traia y dixo don lançarote señor semejame,Et cele|qui moult grant paor a' de morir|li crie Lmerci a iointes mains|Et li dist ha|por dieu sire ne mocies mie|ains aies de moi pitie|pour ytelle pitie,ch egli è vivo
4305,que Diex out de Marie Madelainne,que dieu eut de marie magdaleine,,que diex eut de marie magdalaine,
4306,Et il s areste touz trespensez,si se arresta trespensif,,Et il saresta tous cois|et fu tous trespenses,
4307,et la voit la plus bele riens qu il onques,Si la ueit la plus belle|que oncques auoit ueue,,& voit|que cest la plus tres bele rienz quil onques,
4308,mais veist,,,mais eust ueue,
4309,et il trambloit,Et il trembloit,,Et il trambloit,
4310|4311,si durement d ire|et de mautalant,si durement de ire|et de mal tallent,,si durement de ire|& de mautalent quil auoit,e giuro a dDio
4312,que a poinnes pooit il tenir s espee,que a peine pouoit il tenir son espee,,que a paines pooit il tenir sespee,
4313|4314|4315,et se test|et pense qu il fera ou s il l ocirra ou s il le laira vivre|Et cele li crie toutes voies merci,et pensoit sil locciroit ou se il la laisseroit uiure|et continuellement la damoiselle lui crioit mercy,,Si pense sil locirra ou non|Et cele li crie toutes uoies merci,che giamai non finirò di cavalcare se morto o preso o malato non sono tanto
4316,et est devant lui a genouz toute nue en chemise,et estoit deuant lui toute nue|en chemise a genoulz,,et est deuant lui a genouls toute nue en sa chemise,
4317|4318,et il resgarde ses ieuz|et son vis,et lui en regardant son uiz,,Et il regarde sez iex,
4319|4320,et sa bouche|et voit en lui tant de biauté qu il en devient touz esbahiz,et sa bouche en quoy il y auoit tant de beaulte luy dist,,& sa bouche|& son vis|& voit en lui tant de biautes|que il deuint tous esmaris,
,,,,?,
4321|4322|4323|4324,Lors dist tant dolanz|que nus plus Damoisele|je m en irai|si vaincuz,damoiselle ie men iray tout uaincu,que de quantas donzellas yo vi,Lors dist tant dolans comme nus plus|UAamoift so alsele fait lancelot iou men irai|si uaincus,ch io l avrò trovato
4325,et si recreanz com cil,et tout recreant comme celuy,,& si recreans comme Dcil,
4326,qui ne s ose de vos vengier,qui ne se ose de uous uengier,,qui ne sose de vous uengier,
4327,car trop seroie cruex,Car trop seroye cruel,,quar trop seroie desloiaus,
4328,et desloiax se,et desloyal|se,,& crueus se ie,
4329,si grant biauté destruioie com il a en vos,si grant beaulte destruisoye,,si grant biaute destruisoie,
4330,Si vos pri,Si uous prie,,Si vous prie,
4331,que vos me pardoingniez ce,que uous me pardonnez ce,,que vous me pardonnes ce,
,,,,que iou le vous pardoins par ensi,
,,,,que vous uostre courous me pardoignies,
4332,que je tres m espee sor vos,que iay tire mon espee sur uous,,Et trais mespee sour vous,
4333,car ire,car ire,,Car ire,
4334,et mautalant le me fist faire,et mal tallent le ment fait faire,,& maltalens le me fist faire,
4335,— Sire fait ele je le vos pardoing par,Sire fist elle ie le uous pardonne par ainsi,,Sire fait elle il li otroie,
4336,si que vostre courouz me pardoingniez,que uous me pardonnez uostre couroust,,,
4337|4338,Et il li otroie|puis qu il voit,Et il luy ottroya,,puis quil voit,E quand i' l avrò
4339,que dire li couvient;,,,que faire li conuient,
4340,si remet s espee el fuerre,si remist sen espee dedens le fourreau,,si remet sespee el fuerre,si 'l pregherò
4341|4342,et la commande a Deu|Quant il vient a la cort aval,puis la commanda a dieu|Quant il uint en la court descendre:,,& las commande a dieu|Et quant il vint en la cort aual,che per l amore di mi' padre Galeotto
4343,si troeve son cheval enselé ;,si trouua son cheual tout selle,,si trueue son cheual ensele,
4344,si le fist Brisane apareillie celoz le trouvast,,,& li auoit fait brisane apparellier|por ce quil le trouast prest,
4345,quant il vandroit aval,,,quant il uendroit en la cort aual,
4346|4347,quar ele savoit|por ce,que brisanne lui auoit fait habiller affin,que esta es la,Car elle sauoit bien,ch elli tanto amò
4348,que Lanbien qu il ne remandroit s apercevroit de la decevance,que Lancelot le trouuast prest,,quil ne demoroit pas laiens|si tost comme il sapercheuroit de la deceuance,
4349|4350,Quant il est montez|et laienz,quant il uiendroit aual|car elle scauoit bien qu il ne seiourneroit pas leans,,Quant lancelot fu montes,
4351|4352,si tost com il Il a pris son escu|et I,si tost quil se aperceueroit de la deceuance,,& il ot pris son escu,ch elli mi ritegna con esso lui
4353|4354,gl|arbre,Si monta a cheual,,,
4355|4356,si s em part dolanz|et courrouciez,et priut son escu,mas fermosa,si sen part dolans|et corocies,e mi lasci andare per le strane terre
4357|4358,et entre en qu il trova apuié a I|son chemin,et son glaiue quil trouua a ung arbre,,Et il ot pris|? vn glaiue quil troua apoiet à vn mur|Si sen entre en son chemin,e cercare le strane aventure con esso lui
4359|4360|4361,et vait pansant|si durement qu il ne set de lui conroi|Et li rois de la Quasse,et tellement fantasia quil ne scauoit son estre Le roy perles,mas delas dueñas non vos fablo tanto y el Rey,et sen uait pensant|si durement quil ne set de lui nul conroi prendre|Et li roys pelles se fu matin leues,eEs elli ciò non vuol fare
4362,por veoir sa fil s fu matin venuz au chastel conté conment Lanceloz s en estoit alez,qui fut matin leue sen uint au chastel de la quase pour ueoir sa fille,,& sen fu uenus au chastel de la casse pour ueoir sa fille|Car on li auoit ia conte comment lancelot sen estoit ale,
4363,Quant il vint,car ia scauoit bien comment lancelot sen estoit party,,Et quant il y uint,
4364|4365,que l an li avoit ja la|si la troeve malade,et lui arriue trouua sa fille toute malade,,si le troua malade,tuttavia m aiuterà elli meglio a consigliare
4366,et deshaitie de la paor,et deshaittee de la paour,,& deshaitie de la paour,
4367,que Lanceloz li ot faite qu il ne l oceist;,que lancelot luy auoit faicte,,que lancelot li ot faite quil ne locesist,
4368|4369|4370,si conta son pere|einsi com il li 'estre de li|et de Lancel,Si compta a son pere comment il lui estoit aduenu|et puis|quant il sceut la uerite de la chose de elle|et de Lancelot,,Si conta a son pere comment il len estoit auenu|Et quant il sot vraiement lestre de li|& de lancelot,che nullo altro non farebbe
4371|4372,pit avenu|Quant il sot vraiement rement,Si la fist garder moult chierement,,si le fait garder moult hautement,Atanto
4373|4374,et plus honorer|que devant,et plus honnourer|que deuant:,,et plus honorer quil nauoit fait deuant,
4375,Et ne demora pas ist garder molt chieIII,si ne demoura pas gramment apres qu il lui fut dit par les phisiciens,,Si ne demora pas|iii,
4376|4377,mois qu il sot qu ele estoit enceinte|et par les usiciens,que elle estoit enceainte|et la damoiselle mesmes,,mois|que il sot bien|que elle estoit enchainte o par les fisiciens|qui li disoient|& par la damoisele,si parte Galogandyn dal re Bando di Maguzo
4378|4379,qui li ue ce ert voirs :|si en furent,qui dist quil estoit uray|si en fut le roy,,qui li dist|que cestoit voirs|Si en furent cil del pais,e se ne va insi armato com egli era
4380,si lié,si ioyeux,,si liet,
4381|4382|4383|4384|4385,que nul plus|et strent|et par la damoisele|qui dist ll del païs en firent grant joie|Quant a Lanceloz se fu partiz de la damoisele sr erra tout le jor entier molt dolanz,que plus ne peult|et ceulx mesmes du pays en firent moult grant ioye|Apres ce doncques|que Lancelot se fut party de la damoiselle il cheuaucha tout le iour entier moult dollent:,,que nul plus|& en firent moult grant ioie|a OR dist li contes|que quant lancelos se fu partis de la damoisele|siycheualcha toute iour moult dolans,ch elli nol fece assapere a questo né a questo altro né non mena con esso lui scudieri né garzoni|Si si fiede nella foresta apresso Lancelotto
4386,et courouciez,et pensif,,et moult corouchies,
4387,et toz jorz aloit demandant nouveles de Lion son cousin,et tousiours alloit demandant de son cousin,,Et Rous iors aloit demandant pour lyonel son cousin,
4388,Quant il ot erré i dusqu aprés vespres il resgarda devant lui,et quant il eut cheuauche iusques apres uespres il regarda deuant lui:,,Et quant il ot|esre tote iour iusques au uespre,
4389|4390,et vit en I|montaigne l,et uit en une mentaigne ung moult bel chastel,,si regarda deuant lui|& uoit vne montaigne deuant lui ou il ot vn moult biau castel,e cavalca tutto giorno a giornata
4391,molt bel chastel; il torne cele part,si tourna celle part,,Si torna cele part,
4392,car il ert tans de herbergier,car temps estoit de heberger,,quar il iert bien tamps de herbergier,
4393|4394,Quant il est venuz dusqu au chastel|si troeve I,et lui arriue a lentree trouua ung cheualier|qui lui dist,,Et quant il est uenus au castel|si troua a lenmui Srht be deaued tree|i,ch egli none incontra huomo né femina
4395|4396|4397,chevalier|qui li dist Sire chevaliers par ci ne poez vos passer se vos ne volez jouster|Lanceloz pensoit,Sire cheualier par cy ne pouez uous passer se uous ne uoullez iouster Or estoit Lancelot pensif,,cheualier|Si li dist sire cheualiers par chi ne poes vous mie passer se vous ne voles iouster a moi|Et lancelot pensoit,che novelle ne lle dica di ciò
,,et trouble,,,
4398|4399,si durement qu il n antandi pas a ce qu il dist;|si s an vait sus le pont ne onques ne laisse son penser,car il nentendit pas ce|que le cheualier lui dist:|si cheuaucha oultre sur le pont sans laissier son chemin,,si durement quil nentendoit pas chou quil disoit|si sen vait par desore le pont ne onques ne laissa son penser,ch elli chiede
4400,Et cil chevaliers li vient son glaive aloingnié,Et le cheualier lui uient le glaiue au poing,,Et li cheualiers sen uait uers lui le glaiue alongie,e travagliato di ciò|ch elli ebbe il giorno fatto in sul cavallo
4401,et le fiert,si le frapa,,& le fiert,si dolea
4402|4403,si durement qu il li fait la sele widier|et le porte tout envers dedenz le fossé,si durement quil lui fist la selle uuider tant quil le porta tout enuers dedens le fosse plain de caue,,si durement quil li fist la sele widier|& le porta el fosse tot enuers|&,si duramente|che del pugnere|ch elli avea il giorno fatto|che di piccole piaghe
4404|4405,Et Illl|vallez,et les uarles de lautre commencerent a crier,,iiij ualet,ch elli avea
4406,qui estoient sus la bretesche li conmancent a crier Ha sire chevaliers or vos poez bien baingnier !,Ha ha: sire cheualier|Or uous pouez uous bien baignier,,qui estoient desous la bersezss altesche|? li commencent a crier,che a pena poteva elli andare se non in passo
,,,,ha sire cheualiers,
,,,,ore vous poes baignier,
4407,Et li chevaliers del chastel prant le destrier Lancelot,et le cheualier print le cheual de Lancelot,,& li cheualiers du castel prist le cheual lancelot,Allor riguarda di dietro lui|e vide venire un cavaliere armato
4408|4409,si entre dedanz la vile;|et maintenant fu la porte close,puis sen entra dedens la uille|et incontineut fist fermet la porte,,si sen entre dedens la porte|& on li clost la porte,e una molto bella dama con esso lui
4410,Et quant Lanceloz voit qu il est chaüz en l eve,et quant Lancelot ueit qu il estoit cheu en leaue,,Et quant lancelot voit|que il estoit cheus en leue,E elli il salutano quand egli il vidono
4411|4412,si est touz esbahiz|car il ne set comment il est chaoiz a,si en est tout esbahy|car il ne scait comment il y estoit cheu:,,,e elli à molto gran paura di conoscenza
4413|4414,si sant qu il afonde|Lors aert a Il,si sentit quil affondroit,quando esto le oyo Penso,si sent quil afonde|Si ahiert as,si risponde bassetto|che Dio li benedica
4415|4416,poinz J|arbre,Lors print a deux mains ung arbre,,ij|mains|arbre,
4417|4418|4419,qui devant lui estoit|et fait tant qu il est issuz del fossé|et venuz a terre seche son escu a son col son glaive en son poing,qui deuant lui estoit|et fist tant quil uint hors de la fosse son escu a son col|et son glaiue en son poing,,qui deuant li estoit|& fait tant quil est issus del fosse son escu a son col sa glaiue en son poing,PBel sire diss ella la dama chi siete voi
