a	b	c	d	e
3413|3414	et qu il n i a mes nul recouvrier|si se fiert en la forest	et quil ni a|mais nuls recouurier|Si se fiert en la forest	que ya no podian Cobrar metiose enla floresta y fuese	; quando egli à un poco andato|si ode a dextra sonar una campana	que la se gise aucun che¬ ualier pour soy reposer
3415|3416|3417|3418	et s en vait grant oirre|car il ne velt estre arestez de nelui|Assez fu quis|et demandé	& sen uait grant oirre|quar il ne volt estre arrestes de nullui Asses fu quis|& demandes	quanto el cauallo lo pudo lleuar y mucho fue buscado	e s adiriza in quelle parti|e truova una badia di monache bianche|Egli discende a l entrata|e dà su cavallo a guardar a uno garzone|; poscia entra nel monisterio tutto armato|fuor di suo elmo|e discudo	sy cuidebien q̃ ce soit ung des cheualiers aduatureux de sa maisõ du roy artus
				e di lancia	
3419|3420	mais il n i ot celui|qui le poïst trouver	mais il ni ot celui|qui le peust trouuer	mas nunca del puderion sauer parte y	;e quando egli è là entro entrato	elle appelle deux dames
3421	Et quant li rois Bademaguz vit qu il s en estoit tornez en tel manniere qu il ne set qu il doie dire ne faire	Et quant li roys baudemagus uit quil sen estoit ales en tel maniere|& quil ne seroit point troues	quando el Rey bandemagnus vio|que ansi sele fuera	e' vi truova la sirochia di Meliagante|quella el trasse della dolorosa prigione dov egli era stato messo	
		si en est			
		si dolans			
		quil ne set quil en doie faire ne dire			
3422|3423|3424	et dist|que voirement est il li plus maleurez hom|qui onques fust	Et dist|que voirement est il li plus maleureus hom del monde	e que el del no podia sauer parte ouo tan gran pesar|que Cuido de sandezer y començo a dezir agora soy yo el	E que' il riguarda|e avisa tanto|e ella il conobbe|e lli disse|	donc lũnt auoit a nom margam lafee
				che ciò era Lancelotto	
				ma molto	
				si maraviga	
				che i belli capelli sono divenuti	
				che soleva avere	
				Si si pensch egli è stato malato	
				e che perciò	
				si gli son caduti	
				;	
				si soffera di parlar al llui'nsin apresso messa	
				asOuando i frati l ebono cantata	
				e Lancelotto fu uscito del mistieri	
				la damigella venne apresso lui	
3425|3426|3427|3428|3429	quant il avoit ore o soi le meillor chevalier dou monde|qui il deust faire joie|et feste|et ore l a perdu par sa mauvestié|Et Galehodin	quant il auoit fy tal ore auec soi le meillour cheualier del monde|a|qui il deuoit fere ioie|& feste|& ore la perdu par sa maluaistie|Et Galeholdins	mas mal auenturado Rey del mundo|quando agora tube el mejor Cauallero|que enel mundo ay ni se puede allar y aquien deuiera fazer quanta onrra y seruiçio pudiera y agora|ansi lo perdi pormi maldad Como galeot fijo de galeote entro enla floresta en busca de don Lançarote Galeot	vo' siate il benvenuto|eE quand e' la vide|diss ella|ben|Dio mercé|e lla vostra|diss ella|i' vegno per uno torniamento|E elli dice	et laultre auoit a nom sibille lenchãteresse|Et cestoient ses trois femes du monde
				che domane sarà presso di qui	
				si l à impreso mi padre il re Bando di Maguzo contr al re di Norgale	
					
				ché troppo ha gran gente il re di Norgale	
				— E quale aventura	
				diss elli	
				vo à qua amenato	
				? — ire	
				si la conobbe	
				si le disse	
				Mia dolce damigella	
				vo' siate la benvenuta	
				Come l avete vo poscia fatto	
				ch i' non vo vidi	
				? Sire	
3430|3431	que Lanceloz ot abatu fu remontez|si com il pot	qui lancelot ot abatu|fu remontes|si comme il pot		ch altresi era elli venuto per vederlo|Vere|diss ella	qui plus saucient de enchãtemẽt sans la dame du lac
3432|3433	et vient au roi Baudemagu|et se fait connoistre a lui;	et sen vient au roy baudemagu|& se fait connoistre a lui	que ya se leuantara fue al Rey bandemagus y fizosele Conoçer y	sire|v andrete voi lo 'ndomane|? — Oil	
3434|3435|3436	et quant il le connoist|si li fait molt grant joie|et li dist Sire je sui venuz a vos	Et quant il le connoist|si li fet moult grant ioie|Et Galehodins li dist|Sire iou sui uenus a vous	quando el Rey lo conoçio plugole mucho conel y galeot le dixo señor yo vos Ruego	diss elli|s i' posso|— Dunque vo vore io|diss'ella|pregare per Dio	Et pour ce quelle en sauoit tant sẽtre amoiẽt elles
				e per amore	
		por ce			
3437|3438	que vos me diez|qui li chevaliers est	que vous me dies|qui li cheualiers est	que me digades quien fue el Cauallero	che voi atasti a me|; ed	
3439	qui si bien l'a hui fait par deça	qui hui la|si bien fait par decha	que agora fue tan bueno enel torneo	e le disse|che si farà elli	
3440|3441|3442	— Biaux douz sire fet Baudemaguz|por quoi le me demandez vos|? — Sire fait il	Biaus douls sire fait li roys baudemagus pourcoi le me demandes vous|Sire fait il	que paso atodos los nuestros y los vuestros de bondad y estaua devuestra parte mi buen señor dixo el|porque lo preguntades señor	e volenteri di tutto su' podere|MeaSire|diss ella	
3443	por ce	por ce		centomilia mercé di Dio|Dunque so i' bene	
3444|3445	que je sui jones hom|et sai encore poi des ames:	que iou sui vns iouenes hom|si sai encore petit dez armes	porque aun yo soy muy niño y se poco de cauallero y se	che l re di Norgale vi perderà tutto|e mi' padre n arà l onore|E i' vo priego|che vo' rimagniate oggimai qua entro con esso meco	
3446|3447|3448	si avroie mestier d acointier moi d|l|si prodome com il est	Si auoie mestier dacointer moi dun|si preudomme comme il est pour ce	que baldria muy mucho	e domane moveremo ad andare a torniamento|;|e voi il dovete ben fare|ché se voi oraindiritto vo moveste	si q̃ elles cheuauchoient tousiours ensemble
3449	por ce qu il m en apreist	que il men apreist Ieazeel		vo' non trovereste oggimai|si buono stare presso del torniamento	
3450|3451|3452	et por ce|que j en amanderoie de lui|et de sa compaingnie	& que ¡ou amenderoie de lui|et de sa compaignie	por yo hauer su Compañia de tal Cauallero	E sappiate|che vo sarete molto ben servito di tutte le cose|che l uom potrâ|Elli dice|ch elli rimarà	⁊ bu uoient
3453|3454	— Certes sire s il vos quenoissoit il vos avroit molt chier|car il ama molt mon signor vostre oncle	Certes fait il|sil vous connissoit il vous aueroit moult chier|Car il ama moult monseignor vostre oncle	que porel podria mucho mejorar en mi façienda señor dixo el Rey	poscia|che le piace|si si fa disarmare immantenente	
3455|3456|3457|3458	?|et vostre oncle|? le rama molt|que onques hom n ama plus autre		si vos el Conoçiese mucho vos amaria|como amo avuestro padre|que nunca tanto amo vno ome a|otro	|si gli disse|Vattene diritto al castello dellArpa ove tu troverai il re Bando di Maguz mi' padre	⁊ mengoient
3459|3460	Si vos di|por voir	Si vous di par voir	e bien saued	:si gli dirai	⁊ elle dit
3461|3462|3463|3464|3465|3466	que ce est mes sires Lanceloz del Lac|— Lanceloz|? fait il|Ne cuidoie je mie vraiement qu il fust morz|?|Mais puis qu il est vis je creant a Dieu	que cest mesires lancelot del lac|Lancelot fet il sire|? iou quidoie quil fust mors|Et puis quil est vis iou vous creant	que este es don lançarote de lago Como dixo el este es don lançarote yo Cuidaua|por mi hera muerto|mas puesque el es viuo yo juro a dios y a sancta maria	ch i' ho qua entro monsignor Lancelotto de Lac|che li dee domane atare al torniamento	que elle uouloit aller ueoir a
3467|3468|3469	que jamais ne finerai de chevauchier se morz ou pris ou malades ne sui|tant que je l avrai trové|Et quant je le verrai	que iamais ne finerai de cheualchier se mors ou malades ne sui|deuant|que iou laurai troue|Et quant iou le verrai	que yo no quede delo buscar fasta quelo falle sino fuere preso o enfermo|que no sea enmi poder y	ch elli il vegna domani a vedere tostamente	qui ce cheual estoit Ei fait tous ses cheualiers arrester
3470|3471	si li prierai|por l amor de mon oncle qu il tant ama qu il me retiengne avec lui	si li proierai pour lamour de mon oncle quil ama tant quil me retiegne de sa compaignie	si lo fallare Rogarlehe|que me Resçiua en su Compañia|por amor demi padre don galeot|que el tanto amo de Corazon y	s elli puote in nulla maniera	
3472|3473	et me lest aler par les estranges terres cerchier les estranges aventures o lui|Et se il ce ne velt totes voies m aidera il mielz a conseillier	& me laist aler aueques lui par lez estranges terres|les estranges auentures querant|Et se il ce ne veult faire|toutes voies maidera il miex a conseillier	que me dexe andar Consigo las estrañas hauenturas y|si esto no quisiere fazer toda uia me aConsejare mejor	mvll valletto	⁊ ẽmaine auec elle les trois ieunes dames
3474|3475	que uns autres ne feroit|Atant s em part del roi Baudemagu	que vns autres ne feroit|Galhodin rode secretly A tant sen part del roy baudemagu tout ensi armes comme: il estoit	que otro me podra Consejar entonçes se partio galeot	si parte da sua dama|e viene al re Bando di Maguzzo	Elles uont celle part
3476|3477|3478|3479	et s en vaît ainsi armez com il estoit qu il nel fait savoir a cestui ne a cest autre ne n anmainne avec lui escuier ne garçon;|si se fiert en la forest aprés Lancelot|et chevauche toute jor ajornee qu il n ancontre home ne fame|qui noveles li die de ce qu il quiert	quil I ne le fist sauoir na cestui na cest autre ne nenmaine aueques lui escuier ne garcon ains se fiert en la forest apres lancelot|Si cheualche en tel maniere quil nencontre homme ne femme|qui noueles li die de ce quil quiert	ansi Como estaua y metiose enla floresta tan enCubiertamente|que ome del mundo nunca del sopo Parte y non quiso lleuar consigo escudero ni donzel	si gli disse ciò|che sua figliuola gli manda	et treuuent lancelot qͥ se dormoit fermement
3480|3481|3482	Et Lanceloz ot toute jor chevauchié las|et travilliez de ce qu il ot le jor fait|et ses chevaux se doloit	Et lancelot ot toute iour cheualchie las|et traueillies de ce quil ot le ior fet|Et sez cheuals fu	e andubo todo el dia|que no fallo ome ninguno ni muger		
3483|3484|3485	si durement|que del poindre qu il ot le jor fait|que des petites plaies qu il avoit a	si lasses	que ningunas nuebas le diese del Mas agora dexa el Cuento de fablar de galeot y torna a Contar de don lançarote y delo quele auino despues	sì n è tanto lieto sanza misura	
3486|3487	que a painnes pooit il aler|que le pas	que a paines pooit il aler plus|que le pas	que se partio del torneo Agora dexa el Cuento de fablar de galeot y torna a don lançarote Agora dize el Cuento	si si pensa	
3488|3489	Lors resgarde arriere lui|et voit venir	Lors regarde derriere lui	que quando don lançarote se salio del torneo	ch egli l andrà a vedere al più privatamente	Et celles le regardẽt moult longuemẽt
3490|3491|3492|3493|3494|3495	J|chevalier armé|et une molt bele dame avec lui|Il le saluent|quant il viennent pres|et il a molt grant paor de quenoissance;	& voit uenir vn cheualier arme|et cheualchoit aueques lui vne bele dame|Et quant il vindrent pres de lui|si le saluent|Et il ot grant paour de connissance	que andubo todo aquel dia porla floresta muy Cansado del afan|que hauia sufrido todo aquel dia y su Cauallo hera tan laso y tan quebrantado delas feridas	ch egli potrà|ché per ventura Lancelotto non vuole mica|che uomo il conoscesse al torniamento|	
3496|3497	si respont basset|que Diex les beneie	Si respont|que boine auenture lor doinst diex	que no se podia mouer entonçes cato y vio venir enpos desi vn cauallero armado y traia vna donzella Con sigo	si mne fu elli l uno|e l altro dussi	
3498|3499|3500|3501|3502|3503|3504|3505|3506	Biaux sire fait la dame|qui estes vos|? — J|chevaliers sui ce poez veoir|—|Si m aïst Diex fait ele chevaliers estes vos tel a mon esciant qu il n a vostre pareil ou monde:|si le sai par or̈r dire|et par veoir|et je vos pri par la riens	Biau sire fet la dame|qui estes vous|Dame fet il vns cheualiers sui ce poes ueoir|Si mait diex fait elle cheualiers estes vous au mien escient|tel quil na vostre pareil el monde|Si le sai par oir dire|& par ueoir	que hera muy fermosa y tanto|que ael llegaron saludaronle y el aellos y dixole la dueña señor cauallero quien sodes dixo el yo so vn Cauallero y esto podedes vos bien sauer sin falla cauallero sodes vos dixo ella atal|que enel mundo no ay vuestro par al mi cuidar esto se vio|por oy y porlo ver pormis ojos|e yo vos Ruego porla fe	e l terzo quan|e 'l quarto semplice cavaliere|molto era produomo|	⁊ li uiẽt de|si grant beaule quil ne resemble pas sicom me elles dient homme mortel
3507	que vos plus amez el monde	Si vous proi par la riens el monde|que vous plus ames	que deuedes ala cosa del mundo|que vos	diss egli	
3508	que vos hui veingniez herbergier o moi en un mien chastel	que vous hui|mais uenes herbergier auec moi a vn mien castel	mas amades|que vaiades comigo a aluergar a un mi castillo	che vo' vegniate con esso meco insino a una badia	
3509	qui ci pres est par couvant	qui ci pres est|par couent	que es çerca de aqui	che qui presso esto	
3510	que je vos mousterrai demain la plus bele riens	que iou vous mousterrai demain la plus bele riens	por pleito		
3511	que vos onques veissiez	que vous onques ueissiez	que vos muestre		mais chose face
3512|3513	Et il dist qu il i ira volentiers par cest couvant|Or en venez donc fait ele	Et il dist quil yra uolentiers par tel conuent|Ore vous en uenes|dont fait elle	e vna delas		
3514	— Alez fait il	Ales deuant fait il	mas fermosas cosas del mundo de grado dixo el yre conbusco	Egli dicono	
3515|3516	et je vos suirrai|La dame s an vait avant	& ie vous sieurrai|ors sen uait la dame deuant	por tal pleito pues andad dixo ella y yo yre delante entonzes se fue delante y el enpos della		
3517|3518	et cil aprés|qui greingnor mestier eust de repos	et li cheualiers apres|qui greignor mestier Leust de repos	ca mucho hauia el menester de folgar	che si faranno egli volentieri	
3519	que de chevauchier;	que de cheualchier	mas que de andar		
3520|3521	si ont tant alé qu il vindrent en J|valee	Si ont tant ale quil vindrent a vne ualee		Si montarono isnellamente	
