micha-iv-75-4	inc-iv-75-4	fr111-iv-75-4	fr751-iv-75-4	fr333-iv-75-4	sommer-iv-75-4	lanzarote-iv-75-4	lancellotto-iv-75-4
des lors que il connut la damoisele charnelment.  Et ele li dist: « Sire, je sui J. damoisele, fille au roi Pellés de la Terre Foreinne. , 	depuis quil auoit cengneu la pucelle charnellement/  Et elle dist/ sire ie suis fille au roy de la terre forainne/ 	Des lors  quil cogneut la damoisele.  et elle luy dist.  Sur ie suys une damoisele fille au roy pelles de la terre foraine. 	puis conneut la damoisele charneument.  Et ele li respondi Sire ie sui une damosesele fille le roi pelle de la terre forainne. 	que il connut la damoisele.  Et ele li dit. Sire ge sui une damoisele. fille au roy pelles de la terre foraine. 	lors que il connut la damoisele carnelment.  Et elle li dist. Sire iou sui Vne damoisele. fille au roy pelles de la terre forainne. 	yo soy la fija del Rey peles dela tierra forana 	
Quant il l’antant,	Quant il entendit cella 	Quant il lentend 	Et qnent il aparsoit ce 	quant il lentent. 	Et quant il entent ceste parole 	y quando el esto oyo 	
si perçoit maintenant 	si apperceut bien 	si saparroit bien 	si entant maintenant 	si sacercoit maintenant 	si apercoit maintenant  s 	luego entendio 	
comment il a esté deceuz;  si saut dou lit tant dolanz  que nus plus  et prant sa chemise et ses braies	comment il estoit deceu.  Et tout en haste sault du lit  tant dolent  que merueilles print sa chemise/  et puis se chaussa 	quil est deceu. si sault du lit  tant doulent  qu il ne puet plus et prent sa chemise et ses brayes 	quil est deceus.  Si saut dou lit tant dolans com nus plus.  et prant sa chemisse et ses braies	que il a este deceuz.  Si sault del lit tant dolenz  que nus plus.  et prent sa chemise et ses braies. 	quil a este deceus.  si saut erranment hors del lit  si dolans  comme nuls plus  et prent sa chemise  et sez braies 	que hera engañado y encantado  y salio luego dela cama muy triste 	
et se vest  et chauce  et prant ses armes. 	et uestit  puis print ses armes/ 	et se uest et chausse et prent ses armes. 	et se uest et chauce et apareille.  et prant ses armes. 	et se uest en chauce.  et prent ses armeures. 	et se uest et chauce  et prent sez armes. 	y visitiose y calzose  y fue tomar sus armas 	
Quant il fu touz  armez, il vient a la chambre 	et quant il fut tout arme il uint en la chambre/ 	Et quant il est arme il uient a la chambre 	Qnent il est armes  si uint en la chanbre 	Et quant il fu armez. il uint en la chambre 	Et quant il est tous armes  si sen reuint en la cambre 	y armose y torno Ala camara 	
ou il avoit geu et ouvre les fenestres ;  et quant il voit cele 	ou il auoit couche et ouurit les fenestres.  Et en regardant celle 	ou il a geu.  et euure les fenestres  Et quant il uyt celle 	ou il auoit geu. et oure les fenestres .  et quant il uit cele 	ou il ot geu. et oeure les fenestres  et quant il uoit cele.  si pense 	ou il ot geu  si oueures lez fenestres.  Et quant il a ueu celle de par 	y abrio las finiestras 	
par cui il a esté deceuz, 	par qui il auoit este deceu/ 	par qui il a este deceu 	par cui il est deceus 	que il a este deceuz. 	qui il a este deceus. 		
si est tant dolanz  qu’il cuide bien issir del sans ; si panse 	si fut tant dolent  qu il cuida bien yssir du sens/ si se pensa 	si est tant doulent qu il cuide bñ yssir du sens.  Si pense 	Si est tant dolans com nus plus.  et que a pou  quil nist dou sanc.  si pance 	Si est tant dolenz  quil quide bien issir del senz.  si pense 	si est tant dolans  quil quide bien issir del sens.  si pense 	y quando vio a aquella porquien fue engañado fue tan sañudo 	
qu’il s’en vengera orandroit sanz plus atandre.  Lors traist l’espee 	quil sen uengeroit sans plus attendre.  Lors tira son espee 	quil sen uangera maintenant sans plus actendre.  Lors trait lespee 	quil sen uangera orendroit sans plus atandre.  Lois trait lespee 	quil sen uengera orendroit sanz plus atendre.  Lors a trete lespee 	quil sen uengera orendroit sans plus atendre.  Lors trait lespee 	que fue marauilla como no ensandeçio 	
et vient vers la damoisele  et dist trop durement iriez: « Damoisele. vos m’avez mort:  si couvient  que vos en muiriez,  car je ne voil 	et sen uint uers la damoiselle/  et lui dist Trop durement damoiselle mauez uous moque/  mais uous en mourrez  Car ie ne uueil pas 	et uient a la damoisele et luy dist. Damoiselle uous mauez occis si conuient  que uous en mourrez.  car ie ne uueil pas 	et sen ua uers la damoisele trop durement. Damoisele uos mauez mort si couuient  que uos en morois. Cair ie ne uueil  que uos deceuez Ia 	et uient uers la damoisele  et li dit trop durement iriez. Damoisele fet il uous mauez mort.  Si conuient  que uous en muiriez .  Car ge ne ueul 	et vint uers la damoisele  et fu trop dolans et trop durement iries.  Et dist damoisele vous maues mort.  Si conuient  que vous en muiries  quai iou ne voel mie 	y dixo  por buena fee detan gran mal 	ma più erranti e que' 
que jamais decevoiz home en tel manniere  com vos m’avez deceu. » 	que iamais deceuoir cheualier en telle maniere  comment uous me auez deceu. 	que iamais uous deceuez homme en tel maniere  comme uous mauez deceu 	mais home en tel manire con uos mauoz deceut. 	que iames ne deceuez homme en tel maniere.  comme uos mauez deceuz. 	que vous iamais deceues homme en tel maniere  comme vous maues deceu. 	como este luego me quiero vengar estonzes metio mano al espada y fue contra la dueña 	
Lors dresce l’espee contremont  et cele 	Lors dreca lespee contrement/  Et la damoiselle 	Lors drece lespee contremont et celle	Lors dresce lespee contremont.  et cele 	Lors dresce lespee contremont.  Et cele 	Lors hauce lespee.  Et cele 	y dixole 	
qui grant paor a de morir li crie merci a jointes mains 	qui grant paour auoit de mourir/ lui cria mercy a iointtes mains/ 	qui a grant paour de mourir luy crie mercy a ioinctes mains.	qui a paour de mort li pri merci a iointes mains. 	qui grant paour a de morir. li crie merci a iointes mains. 	qui moult grant paor a de morir. li crie merci a iointes mains. 	sy me dios ayude vosme hauedes muerto 	
et dist: « Ha, frans chevaliers, ne m’oci mie por cele pitié 	en luy disant.  Ha ha franc cheualier ne me occiz mie pour celle pitie 	et luy dist.  Haa franc cheualier ne mocciez pas pour celle pitie	et li dit frans hons ne mociez mie por la pitie 	Et li dit.  Ha: frans cheualier. ne mociez mie. pour cele pitie 	Et li dist ha por dieu sire ne mocies mie.  ains aies de moi pitie. pour ytelle pitie 	y quiero que vos murades  Porello que no quiero  que engañedes jamas a otro 	
que Diex out de Marie Madelainne !» 	que dieu eut de marie magdaleine/ 	que dieu eut de marie magdalene. 	que diex ot a marie madaglainne. 	que diex ot en marie magdalaine 	que diex eut de marie magdalaine. 	como engañastes ami y luego alço la espada parala ferir  y ella ouo muy gran pauor 	
Et il s’areste touz trespensez 	si se arresta trespensif. 	et il se arreste tout pensif	et il sareste tous trespansez 	et il sareste touz trespensez.	Et il saresta tous cois.  et fu tous trespenses. 	y junto las manos  y finco los ynojos anteel 	
et la voit la plus bele riens 	Si la ueit la plus belle 	et uoit  que cest la plus belle chose 	et La uoit La plus bele riens 	et uoit la plus bele riens 	et voit  que cest la plus tres bele rienz 	y pidiole merçed y dixole 	
qu’il onques mais veist 	que oncques auoit ueue. 	quil ueist oncquez mais.	que il onques ueist. 	quil ouques mes ueist. 	quil onques mais eust ueue 	ay buen cauallero no me matedes 	
et il trambloit si durement d’ire et de mautalant 	Et il trembloit si durement de ire et de mal tallent 	Et il tremble de ire et de maltalent si fort 	et il tranbloit  si dire et de mautalans ca painnes 	Et il trembloit dire et de maltalent.  Si durement 	Et il trambloit si durement de ire et de mautalent 	Por aquella piedad  que jhesu xpisto ouo de sancta maria madalena 	
que a poinnes pooit il tenir s’espee et se test 	que a peine pouoit il tenir son espee/ 	qua peine puet il tenir son espee. 	poot il tenir sespee.  et il serait	que a poine pooit il tenir sespee: 	quil auoit. 	y el estando quedo  y penso vn poco  y parola mientes  y vidola tan fermosa que hera marauilla 	
et pense  qu’il fera,  ou s’il l’ocirra  ou s’il le laira vivre. 	et pensoit  sil locciroit  ou se il la laisseroit uiure/ 	et pense  quil fera ou si il loccira  ou sil la lerra uiure. 	et pance  quil fera.  et ce il locirra  ou cil la laira uiure. 	Et pense  que il fera.  ou il locirra du il la lera uiure. 	que a paines pooit il tenir sespee.  Si pense sil locirra ou non. 	y penso  que faria  si la mataria o si la dexaria  y el tenia la espada enla mano 	
Et cele li crie toutes voies merci  et est devant lui a genouz toute nue en chemise 	et continuellement la damoiselle lui crioit mercy/  et estoit deuant lui toute nue/ en chemise a genoulz/ 	Et celle luy crie mercy et est deuant luy toute nue a genoux en sa chemise. 	et cele li crie totes uoies merci  et est aIenoillee deuant lui tote nue fors de sa chemisse. 	Et cele li crie merci.  et est deuant lui a genolz toute nue en sa chemise. 	Et cele li crie toutes uoies merci.  et est deuant lui a genouls toute nue en sa chemise. 	y ella estaua en camisa ante el pidiendole merçed los ynojos fincados muy omildosamente 	
et il resgarde ses ieuz et son vis et sa bouche  et voit en lui tant de biauté 	et lui en regardant son uiz et sa bouche 	Et il regarde ses yeulx son uis et sa bouche  et uoit en lie tant de beaute 	et il resgardes ses iex sa boche et son uis  ou il a tant de biaute 	Et il regarde ses iex et son uis et sa bouche.  Et uoit en li tant de biaute 	Et il regarde sez iex et sa bouche et son vis  et voit en lui tant de biautes 	y el paro mientes al Rostro y alos ojos y ala boca  y viola tan hermosa 	
qu’il en devient touz esbahiz.  Lors dist tant dolanz que nus plus: « Damoisele. je m’en irai  si vaincuz et si recreanz com cil 	en quoy il y auoit tant de beaulte luy dist/ damoiselle ie men iray tout uaincu  et tout recreant comme celuy 	quil en est tout esbahy.  lors dist tant doulent qu il ne puet plus. Damoisele ie men uay ainsi uaincu et recreu comme cil 	quil sen esbahit tous.  et lors li dit tant dolant et tant correciez que nus plus. Damoisele ie men irai tant uaincus et tant recreans comme ciz 	quil en deuient touz esbahiz.  Lors dit tant dolenz  que nus plus Damoisele.  ge men irai si dolenz et si recreanz.  que cil	que il deuint tous esmaris.  Lors dist tant dolans comme nus plus. DAmoisele fait lancelot iou men irai si uaincus et si recreans comme cil 	que fue Ende espantado  y dixole  Dueña yo me quiero yr por vençido y por Rentado  como aquel que se no osa vengar detan gran mal 	
qui ne s’ose de vos vengier, 	qui ne se ose de uous uengier/ 	qui ni souse uenger. 	qui ne sose de uous uangier 	qui ne sose de uous uenger. 	qui ne sose de vous uengier 	como feçistes 	
car trop seroie cruex et desloiax,  se si grant biauté destruioie  com il a en vos.	Car trop seroye cruel et desloyal/  se si grant beaulte destruisoye 	car trop seroye cruel et desloyal  si ie destruisoye si grant beaute  comme il y a en uous 	Car trop seroie deslaiaus et crueus ce Ie si grant biaute destruioie  comme il a en uous. 	Car trop seroie crieulz et desloiaux. se si grant biaute destruioie  comme il a en uous. 	quar trop seroie desloiaus  et crueus se ie si grant biaute destruisoie 	que yo faria gran crueldad en destruir tanta beldad como dios envos puso  y Ruego vos que me perdonedes  Por quanto saque el espada contravos 	
Si vos pri 	Si uous prie 	Si uous pry 	si uos pri 	Si uous pri 	Si vous prie 	quela yra 	
que vos me pardoingniez ce  que je tres m’espee sor vos,  car ire et mautalant le me fist faire. — Sire, fait ele, je le vos pardoing 	que uous me pardonnez ce que iay tire mon espee sur uous/  car ire et mal tallent le ment fait faire. Sire fist elle ie le uous pardonne par	que me pardonnez de ce  que iay mespee traicte sur uous.  car ire  et maltalait le ma fait faire. Sire fait elle ie le uous pardonne par ainsi 	que uos me pardones ce  que ie trais mespee Sor uos.  Car ire et mautalans le me fit faire. Sire fait la damoisele ie le uos pardoing par issi 	que me pardonez tout uostre mautalent. 	que vous me pardonnes ce  que iou le vous pardoins par ensi. 	y el mal talante melo fizo fazer  señor dixo ella  yo vos perdonare por tal que vosme perdonedes todo el vuestro mal talante  e que nunca jamas ayades demi saña  yo lo otorgo dixo don lançarote 	
par si que vostre courouz me pardoingniez. »  Et il li otroie, 	ainsi que uous me pardonnez uostre couroust/ 	que uous ne pardonniez uostre maltalent.  et il luy octroye 	que uos uostre mautalant me pardonois.  et il li otroie 	et ele li otroie puis	que vous uostre courous me pardoignies Et trais mespee sour vous.  Car ire et maltalens le me fist faire. Sire fait elle il li otroie 	entonçes metio su espada enla baina  y encomendo la dueña a dios 	
puis qu’il voit  que dire li couvient; 	Et il luy ottroya/ 	puis quil conuient  quil le face.	por que faire le couient.	quele uoit  que fere li conuient. 	puis quil voit  que faire li conuient. 	y partiose dende  e fallo enel corral su cauallo ensillado 	
si remet s’espee el fuerre 	si remist sen espee dedens le fourreau 	si remect sespee ou feurre 	Si remest sespee el fuerre 	Et lanc̃. remet sespee el fuerre	si remet sespee el fuerre. 	que brisaina selo mandara tener presto 	
et la commande a Deu. 	puis la commanda a dieu 	et la commande a dieu  et sen ua 	et la coumande a dieu. 	et la commande a dieu. 	et las commande a dieu.	que sabia ella 	
Quant il vient a la cort aval, 	Quant il uint en la court descendre: 	Quant il uient aual en la court 	quant il uient a la cort aual 	QUant il uient a la cort aual	Et quant il vint en la cort aual. 	que enquanto conoçiese la dueña 	
si troeve son cheval enselé ;	si trouua son cheual tout selle	si treuue son cheual sele. 	si trueue son cheual tout enselle. 	si trueue son cheual ensele. 	si trueue son cheual ensele 	que por cosa del mundo no estaria 	
si le fist Brisane apareillie celoz le trouvast, 	que brisanne lui auoit fait habiller  affin que Lancelot le trouuast prest	si lauoit brisane fait appareiller  affin que lancelot le trouuast 	Car brisanne li auoit fait aparailier  por ce que il le trouast tout prest. 	Si le fist brisane appareillier. pour ce que lanc̃. le trouuast 	et li auoit fait brisane apparellier  por ce quil le trouast prest 	y mas y despues que caualgo tomo su escudo y su lança 	
