micha-iv-75-6	inc-iv-75-6	fr751-iv-75-6	sommer-iv-75-6	fr333-iv-75-6	fr111-iv-75-6	lanzarote-iv-75-6	lancellotto-iv-75-6
Ha, sire,  por Dieu, fait il ermites, cel escu laissiez,  que se vos l’amportez, vos ne troverez ja home de cest païs 	que cestoit lescu au geyant  si lui dist.  Ha ha sire pour dieu laissez cel escu/  et en prenez ung autre,  car ie uueil bien  que uous sachiez  que ia en ce pays  cel escu ne porterez pour ce 	et uoit lescu au iaiant. a sire fait il cel escu laissiez  que ce uos le portes en cest pais ne trouerez ia uos home 	quil ot mis a son col.  ha sire fait il pour dieu laissies cel escu quar se vous lemportes vous ne troueres ia homme de cest pais	que cest lescu au iaiant.  si li dist.  ha: sire pour dieu lessiez cel escu.  et prenez .i. autre.  Car se uos de caienz le portez. Sachiez  que ia nenconterrez home ne fame de cest pays.	et luy dist. 		che ciò est lo scudo del giogante,  si gli disse:  Ail, sire, per Dio, lasciate lo scudo  e ne pigliate un altro.  ché se voi di qua entro ne l portate, sappiate  che già non incontlrerete huomo né femina di questo paese 
	que 						
	se les geyans de ce pays uous encontroient 						
qui a son pooir ne vos nuise.»  Et il dist 	que ilz ne uous missent au piz que ilz pourroient  et il dist 	qui a son pooir  ne uos nuisse.  et il dit 	quil ne vous face anui a son pooir.  Et il dist 	qui de tot som pooir ne uous nuise.  Et il dit 	haa sire pour dieu laissez cel escu. 		che di tutto su podere non vo noccia, a tutto su poderes.  Ed e' dice 
que ja autre n’amportera.  Atant se part de laienz  et chevauche 	que ia aultre ny emportera  se il en deuoit pour cella morir.  tAant sen partit messire yuain de leans  Et cheuaucha toute la matinee 	que ia autre ne portera.  Atant se part de laiens et cheuauche 	que ia autre de cestui ne portera.  Atant sen part de chies lermite. et cheuauche 	que ia nemportera autre  se il en deuoit orendroit morir.  ATant sen part misire .y. de laienz  et cheuauche la matinee. 	Et il se part de leans  et cheuaucha 	Otro dia de gran mañana se fue dende don yban 	che già no ne porterà altro,  se ne dovesse oraindiritto morire. ls  eAtanto si parte monsignor Yvano di là entro  e cavales tutta la mattinata 
tant qu’il vint a l’entree d’unne forest.  Lors encontra II. damoiseles 	tant quil encentra en une forest deux damoiselles 	tant quil uint a lentree dune forest.  Lors encontre .ii. damoiseles 	tant quil vint a lentree dune forest.  Lors encontre. ij. damoiseles 	tant quil encontra en une forest .ii. damoiseles. 	tant quil uint a lentree dune fourest.  Lors encontre deux damoiseles 		tanto ch’elli incontrò due damigelle 
qui portoient I. brachet; 	qui poitoient deuant eulx deux braques.  Et estoient montees sur deux petis paleffrois 	qui portoient .i. brachet. 	dont lune portoit vn brachet. 	qui portoient en lor deuanz .ii. brachez. et estoient montees.  sus ii. palefroiz petiz. 	qui portoient ung blanc brachet. 		che portavano davanti loro due brachette, 
et quant eles voient le blanc escu gouté de noir,  si ont tel paor 	Et si tost comment laisnee uit lescu blanc de gouttes de noir  si eut telle paour 	et si tost com ele uoient le noir blanc escu goute de noir  Si ont tel paour	Et quant elles voient le blanc escu goute de noir  si ont tel paour 	et si tost comme lainznee uit lescu blanc goute de noir.  si ot tel paor 	et quant elles uoient le blanc escu goute de noir  si ont tel paour 	y andubo tanto 	ed erano montate sopra due palafreni picoli.  Si tosto come l’una vide lo scudo gocciolato di nero,  sì ebbe tal paura 
qu’eles ont laissié le brachet chaoir  et tornent en fuie.  Et il point aprés,  si a atainte l’unne  et la prant au frain  et dist: « Damoisele,  por quoi avez vos si grant paor ? —Sire, fait ele,  por cel escu 	quelle laissa cheoir son braqnet et sen tourna en fuitte  tant comme le cheual peult aller.  Et aussi fist lautre/  et il commenca a piquer le cheual aprez  car scauoir uouloit  pour quoy elles fuioient 	que eles laissent ius cheoir le brachet.  et tornent en fuie. et il court apres si ataint lainnee  et la prant au frainc.  et li dit damoisele  por qu aues uos si grant paour. Sire fait ele por cel escu 	que elles laissent le brachet cheoir  et tornent en fuies.  Et il point apres et en ataint lune  et le prent au frain.  Et li dist damoisele pourcoi aues vous si grant paour Sire font elles pour cel escu 	quele lessa cheoir son brachet  et tourne en fuie  tant com li cheuaus puet aler. et aussi fet lautre.  et il point apres  Car il uoldra sauoir pour quoi eles fuient.  Si ataint la derreniere  et la prent au frain.  et li dit. Damoisele mar i fuiez.  Car uous nauez garde mes dites moi  pour quoi uous auez si grant  paour.por qoi: sire fet ele. pour cel escu  que uous auez abatu a tel eur que nous en seron destruictes et essilliees.  Ne iames noseron aler esbatre ne ioer ausi comme deuant. 	que elles laissent cheoir le brochet.  et il point apres si ataint laisnee  et la prent au fraing  et luy dist. damoisele  pour quoy auez uous si grant paour. Sire fait elle  pour cel escu 	que llego avnos prados  y fallo dos donzellas  que comian avna fuente 	ch’ella lascia suo brachetto cadere  e torna in fuga  tanto come il cavallo puote andare; altresi fece l’altra.  eElli pugne apresso,  ch’elli vorrà sapere  perch’elle fugono,  si agiugne la diretana ella prende al freno  e le disse:  Damigella, mal fuggite,  ché vo non avete guardia.  Ma diteme  perché voi avete si gran paura.  — eperché, sire?, diss’ella.  Per quello scudo 
que vos portez.  Et quant je vos vi ore venir,  sì cuidai 	si attaingnit la derreniere  puis la print au fraing  et lui dist damoiselle pas ne fuyez  car uous ne auez garde  mais dictes moy  pour quoy auez si grant paour pour qnoy. Sire fist elle pour cel escu  que uous auez abatu a celle heure  que nous en serons toutes destruietctes  et essillies ne	que uos auez abatu.  Et quant ie uos ui ore uenir ie cuidai 	que vous aues abatu.  Et quant iou vous vi ore uenir. Iou quidai que vous fuissies li sires de cest pais.  Et ne vous esmaies mie fait il 	Et quant ie uous ui ore uenir. si quidai a cel escu  que ce fust le sire de cel tertre.  qui a non malduit le iaiant.  et pour ce tornai ge en fuie.  Or ne uous esmoiez damoisele  fet il 	que uous auez abatu.  car quant ie uous uy uenir si cuiday 	e tanto le Rogaron 	che voi avete abattuto a tale ora che noi ne saremo diseritate e in selrvaggio,  né giamai non oseremo andare a giocare né a sbattere altresi come davanti;  e quando voi vidi venire con cotesto scudo,  si credetti 
	iamais noserons esbatre ne iouer ainsi 						
	comme deuant nous faisiens 						
	et quant ie uous uy ores uenir a tout cel escu ie cuidoye 						
que ce fust li sires de cest chastel. —  Or ne vos esmaiez, fait il, vos n’avez garde. — Sire, fait ele, non, de vos. » 	que ce fust le seigneur de ce tertre  qui a a nom mauduit le geyant/  et pour ce tournay ie en fuite.  Or ne uous esmayez damoiselle fist monseigneur yuain  car uous ne auez garde 	que ce fust li sires de cest pais.  Or ne uos esmaiez fait il  que uos nauez garde. Sire fait ele non de uous. 	quar vous naues garde. Sire font  O elles non de vous.  Atant sen part mesire ywains. 	quar uous nauez garde.  Non fet ele de uous mes dautrui  si ai. 	que ce fust le sire de ce chastel.  Ne uous esmayez fait elle uous nauez garde. sire fait icelle non pas de uous. 	que ouo de desçender del cauallo 	che-cciò fosse il signor di questo poggio là suso  ch’à nome Maldotto il Giogante,  e perciò torna io in  fuga.— eOr non voi ismagate, damagella, diss’elli,  ché voi non avete guarda. 
							— Non, diss’ella, 
	Non fist elle de uous 						
	mais daultrui uous ne dictes pas 						
Atant s’en vait son chemin 	Lors se partit le cheualier  et sen ua tout son chemin 	Atant sen uet en son chemin. 	si sen uait tout le chemin 	Et il sen uait tout son chemin. 	Adonc sen uait tout son chemin 		di voi,  ma d’altrui si ò ios. Elli se ne va tutto su' camino 
et laisse les damoiseles,  si chevauche dusqu’aprés midi 	si laissa la damoiselle et elle se tira de lautre coste hors sa uoye et le cheualier cheuaucha 	et laisse les damoiseles et cheuauche iusqua midi 	et laisse lez damoiseles et cheualce iusques apres miedi. 	et lesse la damoisele  qui tint autre part sa uoie.  Et cheualche 	et laisse les damoiseles si cheuancha  iucqu a pres midy 	y comio conellas 	e lascia la damigella  che d’altra parte se ne va. Elli cavalca 
qu’il vint en une valee  ou il ot I. bele fontainne desouz Il. ormes. Il vient cele part,  si troeve Il. damoiseles et I. escuier qui manjoient a la fontainne venoison et pastez de chevrel. Il les salue 	tant quil uint en une moult belle uallee  ou il y auoit une moult belle fontaine dessoubz deux ourmes  si uint celle part  et trouua deux damoiselles  qui mengoient a la fontaine uenoison et pastez de cheureul  si les sallua 	quil uint en une mout bele ualee  ou il ot .ii. fontainnes mout beles desous .ii. ormes. Il uient cele part  et trueue .ii. damoiseles et .i. escuier  qui manioient uenison et pastes de serf. Il les salue 	Et lors vint en vne bele ualee  ou il auoit vne bele fontaine desous deuz ormes.  Et il sen uait cele part  et y trueue. ij. damoiseles et. j. escuier  qui mangoient a la fontaine venoison et pastes de cheureil. Il les salue. 	tant quil uint en une ualee ou il auoit une molt bele fontaine desouz .ii. ormes. il uient cele part  et trueue .ii. damoiseles. et .i. escuiier  qui maingoient ala fontaine uenoison et pastez de cheurel.  Et il les salue. 	et tant quil uint en une ualee ou il y auoit une moult bele fontaine dessoubz quatre ourmes et ung escuier  qui mangoit uenaison a la fontaine.  et si auoit des pastez de cheureul. Il le salue. 	y estando ansi vio venir vn Cauallero armado contrael y don yban se leuanto muy ayna contrael  y caualgo en su cauallo 	tanto che viene in una valle  ov’egli aveva una molto bella fontana di sotto due olmi.  sElli viene in quelle parti  e truova due damigelle ed uno scudieri  che mangiavano alla fontana cacciagione e carne di  cavriuolo.“eElli el saluta, 
et eles se lievent contre lui  et le prient de descendre, et demore avec aux tant  qu’il aient mengié; 	puis se drecerent encontre lui  si lui prierent  quil descendist  et demourast auec elles  tant que elles ayent mengie 	et cil se lieuent encontre lui.  et cil le prient de descendre et de demorer auec eus  tant  quil ait mengie. 	Et elles se lieuent encontre lui et li rendent son salut.  et li prient  quil descende  et quil mangut auec euls.  Et il descent  et oste son heaume 	et il se drecent contre lui.  et li prient  que il descende.  et demort o eles  tant  quil ait maingie. 	et il luy.  si le prie de descendre.  Et il le fait  et mangent de la ueuaison.  Et quant il eurent aucques mange. 	y enlazo su yelmo  y quando llego el otro Cauallero dixole 	e elli si dirizano incontro a llui  e l priegano  ch’elli discenda  e dimori con esso loro  tanto  ch’elli abbiano mangiato. 
et il dist  que non fera, 	et il dist  que non feroit 	et cil dit  que non fera	et puis sassiet auec elles  et mangue de lor uiande.  Et quant il orent auques mangiet :  Si dist li vne dez damsoiseles a monseignor ywain : Sire uees vous ce 	et il dit  que non fera. 	si dist une damoisele a messire yuain. Sire uoyez uous ce  qui ie uoy.  Et quest ce fait il.	ay traidor ladron 	Ed e dice  che non farà, 
							che non à mistieri di dimorare, 
				Car il na mester de demorer. 			
				et touteuoies li prient 			
				tant quil descent.			
		qu il na mestier de demorer. 					
		Toutesuoies le prient 					
		tant quil descent					
	car il ne lui est point mestier de demourer 						
	puis lui prierent tant toutesuoyes 						
	quil descendit et osta son heaulme: 						
qu’il n’a  Quant il orent auques mengié, 	si laua ses mains  puis se assist sur lerbe auec elles  et commenca a mengier de la uenoison  qui sort bonne lui sembla  Et quant ilz eurent pres que mengie 	et oste son hiaume  et leue ses mains  et meniut de la uenison.  quant il orrent mengie 	que voi.  Lors li moustre vn cheualier 	et oste son hialme  et leue ses mains  et sassiet sor lerbe uert.  et maniue de la uenoison  qui bone li semble.  Quant il orent auques mengie. 	Lors luy monstre ung cheualier  qui uenoit uers eulx.  Et quant il est si pres 	porque auedes ansi destruido los desta tierra entonzes se dexaron correr 	e tuttavia il priegano elle  tanto ch’e discende  e trae suo elmo ellava sue mani,  e s’asiede sopra l’erba verde e manuca della venigione  che buona li pare. Quando elli ebono alquanto mangiato, 
si dist l’unne mon signor Yvain: « Sire, veez vos ce  que je ngnor Yvain: « Sire, metez vostre hiaume en vostre ste, 	si dist lune des dames a monseigneur yuain beau doulx sire uoyez uous la ce que ie uoy/  et que uoyez uous fist le cheualier  et elle lui monstra ung cheualier  qui uenoit tout arme en grant haste:  si grant erre  comment il pouoit tirer de son cheual  et ueuoit tout droit uers eulx  et quant il uint pres deulx  si disrent les damoiselles a monseigneur yuain beau sire mettez uostre heaulme en uostre teste/	si dit li une des damoiseles a monsignor .y. Sire ueez uos ce  que ie uoi.  Lors li mostre .i. cheualier  qui uenoit uers eus.  Et quant il est pres si dient les damoiseles a monsignor .y. Sire metes uostre helme en uostre testel̶ 	qui uenoit uers euls  Quant li cheualiers aprocha des damoiseles  et il fu auques pres de y elles  Si dirent a monseignor ywain. Sire prendes vostre heaume y le metes en vostre chief 	si dist lune des dames a monseignor .y. biax sire ueez uous ce  que ie uoi.  Et que ueez uus dont fet il.  Et ele li moustre.  Et il se regarde.  et uoit ueuir .i. cheualier. arme de loing si grant erre 	si distrent les damoiseles a messire yuain. Sire mectez uostre heaume en uoustre teste.  Car ce cheualier uient a uous.  et se uous estes arme uous serez plus asseur.  Lors lace messire yuain son heaume. 	e firieronse tan tiestamente 	si disse l’una delle damigelle a monsignor Yvano: Bel sire, vedete voi ciò  ch’io vego?-  E che vedete vo'?, diss’ellis.  E ella si riguarda  e vide venire un cavaliere armato di lungi si grande andatura  come può del cavallo trarre, 
