	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
751|752	Et lors sont molt esmaié li autre troi, |si font molt malvés samblant d’els deffendre por le grant cop	Et lors sont mout esmaiet li autre trois. |Si font mout mauuais sanblant daus desfandre. |por le grant cop	Et lors sont moult esmaie li autre troi. |et font moult maluais samblant daus desfendre pour le grant cop 	et lor sont moult esmayez les autres troys. |si font moult mauuaiz semblant de deffedre pour le grant coup 	Celui trebucha a terre 	e el cauallero conel gran dolor cayo luego en tierra amorteçido |e los otros desque aquel golpe vieron fueron muy desmayados |e fiçieron mal senblante dese defender porlos grandes golpes que façia 	che sente. |Allora sono molto ismagati tutti gli altri tre, |si si fanno malvagio sembianti di difendere per lo gran colpo
753	qu’il ont veu et por l’espee 	quil ont ueu et por lespee 	quil ont veu. et pour lespee 	quilz ont eu. et pour lespee 	et se pasma de langoisse 	e porla espada 	ch’egli ànno veduto e per la spada 
754	que chescuns d’els a ja sentie jusqu’al sanc. 	que chascuns daus a sentie iussqua sanc. et lanceloz 	que cascuns de euls a sentue iusques au sanc. 	que chascun a sentie icquau sanc 	quil sentist. |Lors sont moult esmaiez les autres .iii. 	que auia sentido cadavno enlas carnes 	ch’egli ànno sentita insin qua alle carni. 
755	Et Lancelos lor cort sus 	qui ne recroit pas lor cor sus. 	Et lancelot 	Et lancelot |qui oncquez ne recroit leur court sus 	et lancelot leur court sus 	e lançarote no cato 	E Lancellotto, 
756	et en fiert I. el hialme 	et en fiert .i. amont el hiaume 	qui pas ne se recroit en fiert vn amont sor le heaume. 	et en fiert lun amont ou heaume 	et en fiert tellement ung ament le heaume 	mas aquel que derribo 	ch’unque non si rimuove, lor corre suso e ne fiede l’uno a monte ne l’elmo sì gran colpo 
757|758|759|760	si qu’il le fet flatir a terre d’ambesdeus les paumes. |Et|quant li autre dui voient ce, |si tornent en fuies vers l’uis a garison; 	si quil le fait flatir a teree. danbedeus les paumes |et quant li autre dui uoient ce: |si corret᷑ uers luis |et uiennent a garison. 	quil le fait flatir a terre dambes. ij. lez paumes. |Et quant li autre doi voient chou. |si tornent en fuies. 	si quil le fait flatir a terre des deux paumes |Et quant les autres deux uoyent ce |si tournent uers luys |pour fouir a garison. 	qu il le fait flatir a terres |Et quant les autres deux uoient ce |si tournent uers luys a garant. 	ante dio al otro vn tal golpe por çima del yelmo quele fiço dar con anbas manos en tierra |e desque los otros esto vieron començaron a foir por guaresçer 	ch’elli il fa frattire a terra d’amendune le palme. |ME quando gli altri due vidono ciò, |si tornarono inverso per fuggire a guarigione, 
761|762	et Lancelos vint ataignant le deerrain, |si le fiert par entre l’escu et le bras 	et lanc̃ uient atangnant et en fiert a grant uue par entre lescu et le bras 	Et lancelot ataint le daarrain |si le fiert par entre se lescu et le col. 	Et lancelot actaint le derrain |si le fiert entre lescu et le braz si	Et lancelot uient attaignant le derrain par entre lescu et le col 	e lançarote alcanço |aquel que yua de tras e firiolo asi duramente entre el onbro y el escudo |que tenia enbraçado 	e Lancellotto viene agiugnendo il di dietro, |si l fiede intra lo scudo e l braccio, 
763|764|765	si qu’il li trenche le poing |et li escus chiet a terre, |et cil torne en fuies 	si quil li tranche le poing. |et li escus chiet a terre. |et sil torne en fuie 	Si quil li trenche le bras|et li escus chiet a terre. |Et cil torne en fuies 	quil luy trenche le poing. |et lescu chiet a terre |a cil tourne en fuye 	si lui trenche le bras: |et lescu chiet a terre. Lancelot court a lautre	que el braço conel escudo le fiço bolar en tierra |e el cauallero fuese fuyendo ansi llagado |como estaua e lançarote fuese enpos el otro 	sicché gli trinca il pugno |e lo scudo cade a terra, |e que' torna in fuga 
766	qui maheignié se sent. 	qui afolez ce sent. 	qui mahaignies se sent. 	qui se sent mehaigue 	qui ia se releuoit 	que auia fincado 	che magagnato si sente. 
767|768	Et Lancelos vient a l’autre |qui ja se relevoit, sel fiert de l’espee si grant cop 	et lanc̃ uient a lautre|que ia se releuois. |si le fiert de lespee si grant cop	Et lancelot reuient a lautre |qui ia se releuoit.|si li donne si grant cop 	Et lancelot reuient a lautre |qui se releuoit. |si le fiert de lespee si grant coup	et le fiert si grant coup 	e firiolo asi enlo alcançado ençima del yelmo 	E Lancellotto ritorna a l’altro |che si rilevava, |si l fiede della spada si gran colpo 
769	qu’il li fet le hialme voler en la place. 	que le hiaume li fait uoler en pieces. 	que il li fait voler le heaume de la teste en le place. 	quil luy. fait uoler le heaume en la place. 	qu il lui fait uoler le heaume de la teste en la place. 	que selo fiço volar dela cabeza 	che gli fa l’elmo volare nella piaza; 
770	Et quant cil sent son chief nu, 	et quant cis sent son chief nu: 	Et quant il sent son chief descouuert. 	Et quant il sent son chief nu 	Quant celui sent sa teste 	e el cauallero desque vido su cabeça desarmada Con pauor de muerte 	e quando que' sente suo capo ignudo, 
771	si cria merci 	Si crie merci 	si li crie merci 	si me mercy 	nue il crie mercy 	que ovo pidio le merçed 	sì grida mercé 
772	et dist 	et dit 	et dist 	et dit 	et dit 	e dixole 	e dice 
773	qu’il ne l’ocie pas, 	quil ne locie pas.	quil ne lochie mie	quil ne loccie pas 		ay buen cauallero no me matedes 	che non l’uccida passo, 
774|775	kar il est pres de sa volenté fere. « |Or te covient donc, fet Lancelos, fiancer	Car il est pres de sa uolente faire. sans contredit |Or te couient |dont a fiencier fait lanc̃. 	quar il est prest de sa volente faire. |Lors te couuient |dont fai lancelot afiancer fait il 	car il est prest de faire sa uolente. |Or te conuent donc fiancer 	qu il est prest de faire sa uoulente. Il te conuient denc promettre dit lancelot 	que yo fare toda vuestra voluntad |tu me juraras 	ch’egli è presto di sua volontà fare. |vOr ti conviene dunque giurare, disse Lancellotto, 
776|777	que tu le cors mon seignor Galehout conduiras a la Dolerose Garde|et iluec le feras garder 	que tu le cors Galeh̾. condiuras a la dolereuse garde. |et illuec le feras garder 	que tu le cors monseignor Galeholt conduiras a la ioieuse garde |Et y soies tant 	que tu conduyras le corps de monss galehot a la douloreuse garde. |Et ilecquez le feras garder 	que tu conduiras le corps de gallehaut a la douloureuse garde	dixo lançarote que llebes el cuerpo demi señor galeote ala dolorosa guarda 	che tu il corpo di monsignosr Galeotto conducerai alla Dolorosa Guardia; |nel luogo il farai guardare tanto 
778	tant que je i viegne; 	tant que ie i uaigne. 	que iou y uiengne. 	tant que ie y uiegne.	tant que ie y uiengne/ 	e desque |y fueres 	ch’io vi vegna,
779|780|781	et se l’en te demande |qui t’i envoie, |si diras « cil 	et se lon te demande |qui ti enuoie: |Si diras|que cil 	Et se on te demande |qui ti envoie. |Si di que cil ti envoie 	Et se len te demande |qui te y enuoye. tu diras cil	et se len te demande |qui te y enuoie |si dis: celui 	si te preguntaren quien te ymbia |tu les diras 	e se l’uomo ti domanda |chi ve l’arà mandato, |e tu lor di quelli 
782	qui ot les ames blanches le jor 	qui ot les armes blanches. le ior 	qui ot lez blanches armes le iour 	qui eut les armes blanches le iour 	qui eut les blanches armes le iour	que el cauallero delas armas blancas 	ch’ebbe l’armi bianche il giorno 
783	que li chastials fu conquis. » 	que li chastiax fu conquis 	que li castiaus fu conquis 	que le chasteau fut conquis.	que le chasteau fut cenquis 	que el castillo conquisto te ymbia alla 	che l castello fu conquiso».
784|785	Et il li fiance |que tot ensi le fera il. 	et cil li fiance |que tout ainsi le fera il.	Et cil li fiance |que ensi le fera il AN tel maniere 	et il luy fiance |que ainsi le fera il. 	et cefui lui promet. 	e el cauallero selo juro |asi façer |e lançarote se fue luego parala tumba 	»E elli il giura |ch’elli insi el farà. 
			com vous oies conquist lancelot le cors Galeholt.				
			Et lors y 				
786|787|788|789|790	Lors prent Lancelos la lame par le plus gros chief, |si tire de grant force |qu’a pou qu’il ne se deront tos, |si que li sans li vole par mi le nes et par mi la boche et li cors li sue d’anguoisse. |Mais por tote la destrece ne remaint	Lors prent lanc̃. la lemme par le plus gros chief. |si la tire de si grant force |que a pou quil ne se desront tous. |Si que li sans li uole parmi le nes et parmi la boche |et li cors li sue dangoisse |mais portoie la destresce ne remaint 	quant il ot au cheualier fait fianchier a faire sa volente. |si prent le lame par le gros chief. |si le tire par si grant force. |que a poi quil ne sest tous derrompus. |Si que li sans vole parmi le nes. et parmi la bouche 	Lors prent lancelot la lame par le plus gros bout |si tire de si grant force |qua pou quil ne se derompt tout. |si que le sang luy uole par le nes et par la bouche. et le corps luy sue dangoesse. |mais pour toute la destrece ne demeure pas 	Lors prent lancelot la lame par le gros chief |et la tire de si graut force |que a peu |quil ne se derompt tout 	e tomo a manos el cobertor Porel Cabo |que mas hera grueso asi afuerça |porlo leuantar 	Allor prende Lancellotto la lama per lo più grosso capo, |si tira per si gran forza che a poco che non si dirompe tutto, |e sì che l sangue gli dirompe per me' el naso e per me' la bocca|e l corpo gli suda della angoscia, |ma per tutte le distrezze non rimane 
791	qu’il n’ait la tombe levee en haut à; mes nule dolors 	que il nait la tombe leuee en haut. |mais nule	Et li cors li tressue de langoisse 	quil ne leue la tombe en hault. ne nulle douleur 	et tant que le corps lui sue dangoisse/ |mais nulle douleur 	quela sangre le quebro porla cabeça 	che non abbia la tomba levata in alti. |Ma nullo dolore 
792	qu’il eust 	dolors 	que il en a. 	quil eut oncquez	quil eust 	e porlas narizes quelas açerdas de todo el cuerpo se le estendieron muy fuertemente |asi que por fuerça ovo el cobertor a leuantar maguer Mucho hera pesado 	ch’elli avesse unque 
793|794|795	onques ne monte rien a cele dolor |qu’il ot, |quant il vit le cors Galehout tot ensi armé 	que il eust onques ne monte sur rien. A cele |que il ot quant il uit le cors Galehot. |ensi arme 	Mais nulle dolors |quil ait eue ne monte riens a celi|quil ot quant il vit le cors Galeholt arme tout ensi 	mais ne fu rien a celle douleur |quil eut |quant il uu le corps galehot tout ainsi arme 	mais ne monte riens a celle douleur |qu il eust |quant il uist le corps de gallehaut tout arme ainsi 	Mas nunca el tal duelo ovo como estonçe |e tal Pesar |quando el vido el cuerpo de Galeote 	mai non fu nulla inverso quello dolore|quand’e vide il corpo di Galeotto tutto insì armato 
796	com il estoit; 	con il estoit. 	com il estoit. 	comme il estoit. 	comme il estoit. 	e estaua armado de todas armas 	com’egli era. 
797	si trova s’espee delés lui 	si troua lespee deles lui 	Si troua lespee deles lui 	si trouua lespee pres de luy 	Si trouua son espee empres lui 	e tenia su espada cabe 	eSi truova sua spada dallato a- llui 
798|799	qui molt estoit et bone et clere; |et sans faille de l’espee meesmes se fust il ocis, 	qui mout estoit bele et bone. et sans faille de lespee meismes 	qui tant estoit bele et boine et sans faille de lespee 	qui moult estoit bonne et bele |Et sans faille de lespee mesmes |se fust il occis 	qui tant estoit benne et belle. et sans faulte il sen eust occiz 	si que hera muy buena e clara |e sin falta el se ouiera conella muerto 	che molto era buona e bella, e sanza fallo della spada medesima si sarebbe elli ucciso, 
800	se la damoisele ne li eust tolue erraument. 	ce fust il ocis se la damoisele ne li eust tolue. 	se fust il ocis |se la damoisele ne li eust desfendu 	se la damoiscle ne luy eust tollue erraument. 	se la damoiselle ne lui eust ostee. 	si la donçella |Que del lago auia venido delas manos no sela tirara 	se-lla damigella non gliel’avesse tolta, |perciò rimase. 
			quar elle li osta lespee de sez mains. 				
801|802|803|804	Lors fist Lancelos une biere fere de fust |et la fist covrir des plus riches pailes de laiens, |et|quant il l’ot atornee al plus richement 	Lors fait lanc̃. faire une biere de fust |et la fait courir des plus biax pailes de laiens et|quant il lot atornre au plus richement 	Lors fist lancelot vne biere de fust. |et le fist courir del plus riche paile de laiens |Et quant il lot atorne au plus richement 	Lors fist lancelot faire une litiere de fust. et la fist couurir des plus riches pales de leans. |Et quant il leut atournee au plus richement 	Lors fist lancelot une biere de fust |et la fist couurir du plus riche drap de leans. |Quant il leust apointe le mieulz 	e luego fiço façer lançarote vnas andas |e cobrir de muy Ricos paños |e poner enellas el cuerpo de Galeote 	Allor fece Lancellotto fare una lettiera di legno |e le facce coprire del più ricco palio di là entro.|E quand’elli l’ebe aconcia al più riccamente 
805	qu’il pot, li chevaliers prisons li dist: « Sire, fet il, 	que il pot. Li cheualiers prisons dit |si fait il 	quil pot. |si li dist li cheualiers 	quil peut. le cheualier prisonnier luy dist. sire fait il 	qu il peut le cheualier prisonnier lui dist. 	e el cauallero Dixo a lançarote señor yo vosloaria 	ch’elli poté, il cavaliere prigione gli disse: «Sire, diss’elli, 
806	se l’en movoit tot de nuis, ce seroit sens. — 	se len mouoit tout de nuit |se seroit sens. 	qui le deuoit mener, Sire fait il. che seroit boin. |que nous mouissons de nuit. 	se len mouuoit de nuyt |ce seroit grant sens.	Sire il seroit bon de emporter le corps de nuit. 	si vos plugiese |que luego Mouiese de aqui conel cuerpo de galeote 	se l’uomo movesse di notte, ciò sarebe gran senno. 
807|808|809|810	Por quoi ? fet il. — |Por ce|que, |se li chevalier de cest païs savoient 	Por ce fait il |que ce li cheualier de cest pais sauoient 	pourcoi fait lancelot. |pour chou fait il |que se li cheualier de chest pais le sauoient 	pour quoy fait il. par ce |que si les cheualiers de ce pays sauoient 	Pour quoy fait lancelot |Pource fait il |que se les cheualiers de ce pais sauoient 	Porque dixo lançarote |porque señor dixo el cauallero |porque si los caualleros desta tierra lo supieren 	— Perché?, disse Lancellotto. |— Per ciò, diss’elli, |che s’e cavalieri di questo paese sapessono 
