a	b	c	d	e
874	kar pleust ore a nostre Salveor	quar pleust ore a dieu	e deçia ay mi buen cauallero|e pluguiese agora anuestro señor	che or piacesse ora a Nostro Salvatore	car pleust a dieu
				che vo' sapeste questa dolorosa novella a mio huopo	
				per convento	
875	que vos seuissiés ceste novele	que vous seussies ceste nouele	que supiesedes estas nuebas	che vo' foste presso di qui a meza lega	
876|877	si fuissiés pres de ci a demie lieue! Certes a l aide de Dieu|et de la vostre seroie je encore anuit rescosse malgré tos mes enemis	et puis vous fuissies chi a demie lieue|Certes a laide de dieu|et de la uostre fuisse iou encore anuit rescousse malgre mes anemis	e estubiesedes çerca de aqui media legua|e conla ayuda de dios|e conla vuestra seria yo aCorrida|e librada	! osCerto|all aiuto di Dio|e al vostro sarei io ancora stanotte riscossa a mal grado di tutti miei animici	que uous feussiez prez de cy a de mplieue certes a laide de dieu ie seroie rescous se mal gre tous mes ennemis
878	Mais vos ne le savés pas a		e mas vos no lo sabedes	ma vo' nol saprete mica	
879|880	si me covendra ore morir|por la vie	si men conuendra ore a morir pour la vie	e asi me conuerna a morir	si me ne converrà ora a morire vilmente per ciò	si me conuẽdra mourir pour la uie
881	que je vos sauvai emprés Dieu;	que iou vous saluai apres dieu		ch io voi salvai la vita apresso Iddio|Hal	que ie uous sauuay aprez dieu
882|883	mais certes il ne m en poise pas tant|por moi com il fet	Mais il ne me poise mie tant pour moi comme il fait pour le corous	mas no me pesa tanto pormi|como porel pesar	lassa|come qui à dolorose novelle a mio huopob|¡Poscia dice|Certo	mais certes dit elle il ne me poise pas tãt pour moy commẽt il fait pour le courroust q̃ uous aucez
884	por le coros			e non me ne pesa tanto per me come fa per lo trascruccio grande	
885	que vos en avrois	que vous en aures	que vos abredes	che voi arete di mia morte	
886|887	quant vos le savrois|Mais ce me reconforte molt	quant vous salulres ma mort|Mais ce me conforte moult	Quando lo supieredes Mas esto me conorta mucho	quando vo' saprete il martidio|che l uomo m arà per voi giudicata|etMa ciò mi riconforta molto	quant uous le saurez|mais ce me conforte
				bel dolze sire	
888|889	que je sai bien|que les damoiseles gaaigneront tant en ma mort	que les puceles gaaigneront en ma mort	que yo se quelas donçellas ganaran mucho enla my muerte	ch io so bene|che lla mia morte fia guarento a tutti i giorni di tutte le damigelle del mondo	que ie scay bien q̃ les damoiselles gai gneront a ma moit
				esSi so bene	
				che lle damigelle guadagnano oggi	
890|891	que jamés nule ne vos requerra d aide|que vos li faillois tant com il vos remenbre de moi	quar iamais nulle ne vous requerra dayde|que vous ne li aidies tant comme il vous sousuiegne de moi	que jamas donzella no vos rrequirira de ayuda|que le vos non fagades tanto|que vos acuerde demi	tanto che giamai non voi ne richiedrà niuna d aiuto|che vo' le falliate tanto come vo soverrà di me	car iamais nulles ne uoꝰ requerrõt daide q̃ uous neles aidez tant quil uous sauuiẽgne de moy
892	kar vostre cuers est	Car vostre cuers est	ca vos sodes tan noble	ché vostro cuore est sì franco	car urẽ cueur est aĩsi frãc
893	si frans qu il ne puet estre sans trop grant merites rendre a totes celes	si grans quil ne puet estre sans grant merite rendre a toutes celes	e tan franco|que siempre dareis buen galardon a todos aquellos	che non può essere sanza troppo grande merito rendere a tutte quelle	
894	qui de par moi se reclaiment:	qui de par moi vous reclameront	que demi se lamentaren	che da parte di me|si richiameranno	
895|896	si m est avis qu il m est molt miels a m ame de morir|por loialté fere	Si mest auis|que il mest moult miex a lame pour la loiaute faire	e mucho me sera buena al alma esta muerte|que Resçibire	Si m è aviso che|per lo profitto	Si mest auiz quil mest mieulx a lame pour loiaulle faire
				che nascerà di mia morte	
				ch egli è il meglio a mia anima di morire per lealtà fare	
897|898	et por geter de prison|si vaillant home comme vos	& pour geter de prison|si uaillant homme comme vous estes	porque saque de prision atan noble ome Como vos	e per gittare di pregione uno|si valente huomo come vo' siete	et pour ietter de peril ung|si uaillant hõme cõment uous
899	que vos fuissiés mors par la desloialté de Meleagan	que vous fuissies mors pour la desloiaute melyagant	que vos fuerades muerto porla deslealtad de meliangas	che vo' foste morto per la dislealtà di Meleagant	que se uaus feussies mort par la deslopaulte melleagãt
900	qui en prison vos avoit mis par traïson	qui en prison vous auoit mis	que en prision vos tenia|por su gran traiçion	che n pregione voi avea messo per sua grande tradigione	qui en prison uous auoit mis
901	Ensi disoit la damoisele molt tendrement plorant		e esto deçia la donçella llorando muy dolorosamente	Insi dimentava la damigella molto teneramente piagnendo	Insi disoit la damoiselle mõlt tendieme it plourant
902	et lors vint Lancelos poignant cele part ou il la vit:	Et lancelot vint durement poignant la ou il le vit ester	e lançarote vino luego aquella parte	esAllor viene Lancellotto pugnendo in quelle parti ove la vide	fors uient lancelot poi gnãt celle part
903	si dist a cels	Si dist a chiaus	do la donçella tenian	si disse a quelli	si dist a ceul p
904	qui le tenoient Laissiés la damoisele! —	qui le tenoient|Laissies ester la damoisele laissies	e dixo aquellos|que la tenian dexadla donçella	che lla tenieno|Lasciate la damigella	qui tenoient la damoiselle|lessies la damoiselle
905|906	Por quoi sire fet J|chevaliers armés	pourcoi fait vns cheualiers armes	Porque señor dixo vn cauallero	! oE perché|sire|?|disse uno cavaliere	pour quoy fait ung cheualier arme
907	qui avant saut le lairons nos	qui auant saut le lairoit on	que delante salio la dexaran ellos	che si mise immantanente avanti	qui deuant estoit|la lesrons ilz
908|909	? —|Por ce fet il	pour chou fait il	Porque dixo lançarote	Perché la lascerebbono elli||disse Lancellotto	pour ce fait il
910|911|912	que vos n avés droit en li|por fere mal|—	que vous naues droit de li faire morir	Porque no auedes derecho|Porque la matar	che vo' non avete diritto in lei far morire|—	que uoꝰ naues nul droit a lafaire mourir
913|914	Si avons fet cil|si grant	Si auons fait cil|si grant	si auemos dixo el muy grande	Si abbiamo|sire|disse quelli|si grande come coloro	si auons fait celuy as ses grãt
915|916	que nos l avons atainte de murdre|dont je l apelai	que nous lauons atainte de murdre|dont iou lapelai	ca ella fue acusada de muerte	che ll ànno agiunta di tradigione dond io l apellai	car nous lauõs actainte de meurdie|donc ie fappeloie
917|918|919	et ele s en offri a deffendre|mais ele ne trova onques|qui por li en prist escu	et elle sen offri a desfendre|mais elle ne trouua onques|qui zs escu en portast|por li	e ella se ofreçio a defender porvn cauallero|mas nunca fallo cauallero|que porella quisiese tomar escudo	ed ella se n oferea difendere|ma ella non trovò unque chi per lei prendesse scudo	et elle sen offrit a deffendic mes el le ne trouua õques cheualier|qui pour elle portast escu
920	et ce n est pas merveille	Et chou nest mie de meruelle	e no es marauilla	e ciò non è mica maraviglia	⁊ ce nestpas de merueille
921|922|923|924|925|926	que chescuns set bien quele en a desloialment ovré|— De quoi|? fet Lancelos|— De ce fet il qu ele delivra Lancelot|por Meleagan ocirre son frere|	quar cascuns set bien|que elle a desloiaument oure|De coi fait lancelot|De chou fait cil|que elle deliura lancelot de prison|por ocirre melyagant son frere|Se vous fait lancelot voles moustrer|que elle ait fait traison	ca cadavno sabe su deslealtad|e que es Esta deslealtad dixo lançarote|Que es dixo el Cauallero|que solto De Prision a lançarote Para matar a meliangas su hermano	ché ciascuno sa bene|ch ella à malvagiamente operato|— Di che|?|disse Lancellotto|— Se vo'|disse Lancellotto|osate mostrare|ch ella abbia fatto tradigione o murtre|io son presto di difendella	car chascun scait biẽ quelle a deslopaumẽt ouure de quoy fait lancelot|de oster lancelot de prison pour occire melleagãt son frere A dõc dit lancel ot se uous uoullies dire quelle aist fait traison ou meurdre ie supe prest de prouuer a lencontre|Et pourtant aduises se deffendre le uoulles
				— Di ciò	
				disse quelli	
				ch ella diliverò	
				si come noi sapiamo bene	
				Lancellotto di Lac di pregione per uccidere Meleagant suo fratello	
927|928|929|930	—|Qui estes vos|? fet cil|— Uns chevaliers sui fet Lancelos	& murdre|de che seroie iou tous pres de la desfendre|Qui estes vous fait cil|Iou sui vns cheualiers fait lancelot	si vos dixo lançarote osaredes mostrar|que hizo deslealtad o traiçion enlo soltar yo so presto dela defender Quien sodes vos dixo el cauallero vn cauallero dixo Lançarote so	— Chi siete voi|sire|?|disse quelli|— Uno cavaliere sono io|disse Lancellotto	Qui estes uous fa t celuy|cheua tier suys fait fãcelat
931|932	qui vieng ceste part|por ceste damoisele deffendre	qui chi sui venus|por rescorre ceste damoisele	que vengo aqui poresta donçella defender	che vegno in queste parti per questa damigella difendere	qui uiens uers ceste part pour deffendre la damoiselle
				—Per fé	
				disse quelli	
		Desfendre fait cil			
933	— Par foi fet cil se je voloie il ne m en covendroit ja combatre	par foy se iou voloie|il ne men conuendroit pas desfendre	Por buena fee dixo el cauallero|si yo quisiere no me conbatiria	s i' volessi|e' non mi converebbe già combattere	Par ma foy se ie uoulloie il ne men conuendroit ia deffẽdre
934	kar des ier en est ! ele atainte	Car des hier estoit elle atainte	mas sobre esta rrazon	ché nfino ieri ne fu ella agiunta|poscia	car des hyer elle estoit attaĩcte
			que ayer se cumplio el plazo enque ella se auia de defender		
			mas yo se		
935|936	puis qu ele ne pot trover|qui la deffendist	puis quele ne pot desfendeor trouuer|qui la desfendist	que no fallo quien la defendiese	ch ella no poté trovare chi lla difendesse	puis quelle ne pouoit deffence trouuec
937|938	mais je sent ma querele a|si loial	Mais iou y senc ma droiture|si loial	mas yo se|que ella es|asi enesto desleal	; ma i' so|si mia ragione leale|e diritta	mes ie sens ma dioi cture
939|940|941|942|943|944	et si droituriere qu il n a chevalier el monde vers cui je ne l osaise bien prover au|? grant droit|que je i ai|— En non Dieu fet Lancelos or i parra|que je sui pres|que je la desfende vers vos	quil na cheualier el monde uers|qui iou ne losaisse bien moustrer au droit|que iou y ai|T'non dieu fait lancelot|Ore y para|quar iou sui tous pres|que iou la desfende uers vous	que no a cauallero enel mundo conquien no me osare conbatir sobre esta Razon|ansi me esfuerço enmi gran derecho enel nombre de dios dixo lançarote agora paresçera|que yo so presto dela defender de verdad dixo el cauallero porla mi caueza vos moriredes porende	che non à al mondo cavaliere verso cui i' non l osasse bene mostrare|al gran diritto|ch io ò|— nome di Dio|disse Lancellotto|or parrà|ch io son presto|ch io la difenda inverso voi	si lopalle quil npa cher alier eu monde contre|qui ie ne losasses uienprouuer|Eu nõ dieu fait lancel ot ie suys tout piest de la deffendre uers uous
945	— Voire fet cil par mon chief	voire fait cil|Et par mon chief		— Vere|disse quelli	uoire dist celuy|par mon chief
946	et vos en morrois comme traitres	& vous y morres comme traitres	como traidor	per mio capo voi ne morete come traditore	et uous en moures cõment traictre
947	et desloials	et desloiaus	e desleal	e dislealeb	⁊ des lopal
948	Lors traient la damoisele loins del feu	Lors traient la damoisele loing del fu	e luego tiraron la donçella del fuego	oAllor trae el cavaliere immantanente lungi del fuoco	Lors est la damoiselle reculee du feu
949|950	et li chevalier s entreslongent li uns de l autre|si s entrevienent	et li cheualiers seslongent li vns de lautre|puis sentrelaissent corre li vns vers lautre	e los caualleros se dexaron correr el vno contrael otro	e i cavalier|si traslungano l uno da l altro|si si travengono	et les cheualiers se eslongnẽt
951|952|953	si tost com li cheval pueent aler|et s entrefierent des glaives|si durement qu il les font voler en pieces;	quanque il porent des cheuax traire|si sentrefierent|si durement|que lor glaiues volent en pieces	quanto los cauallos los pudieron lleuar|e firieronse delas lanças tan fieramente	si tosto come i cavalli possono andare|e si trafegono delle lance sicché le fanno volare in pezzi	⁊ puys uiennẽt lun contre laultre tant cõe cheuaulx peuent courre
954|955|956	puis s entrehurtent|si des cors|et des visages qu il n i a celui	puis sentrehurtent des cors|et des uisages	asi que las lanças fiçieron bolar en pieças|e toparon envno delos cuerpos	|si trapercuotono di corpi|e di visaggi|si che non v à colui	et sentrefierẽt|si duremẽt q̃les lances uollent en pieces
957|958	qui tos ne soit estordis|et desconreez	si durement quil ni ot celui quil ne fust desconrees	e delos yelmos	che tutto non sia stordito|e discassato	mes le cheualier ne se peult tenir en la selle
959|960	Mais li chevaliers par est|si estonés qu il ne se puet tenir en sele ains vole jus del cheval	Mais li cheualiers fu|si estordis quil ne se pot tenir es archons de sa sele Ains uole ius de son cheual	que el caballero no se pudo tener enla silla ante cayo del caballo en tierra	|che non|si può tenere in sella|anzi vola giù del cavallo	ains uolle ius du cheual
961	et al parchaoir feri li quins del hialme en la terre	Et au fn el chair feri li coins de son heaume en terre	e al caer ouierasele el pesqueço de quebrar	: al cadere fedi il jeru† de l elmo in terra	et au choir ferit le coing du feaulme a terre
